company_name,role,country,date,hr_name
preeco GmbH a,Test Lead,Germany,25-04-2026,Hiring Manager
Informaticon Deutschland GmbH a,QA Lead,Germany,25-04-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG a,Test Manager,Germany,25-04-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG b,QA Manager,Germany,25-04-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG c,Senior QA Engineer,Germany,25-04-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG d,Quality Assurance Lead,Germany,25-04-2026,Hiring Manager
Schwaben Systems GmbH a,UAT Lead,Germany,25-04-2026,Hiring Manager
Schwaben Systems GmbH b,UAT Manager,Germany,25-04-2026,Hiring Manager
Palark GmbH a,Test Analyst,Germany,25-04-2026,Hiring Manager
ADLON Intelligent Solutions GmbH a,QA Analyst,Germany,25-04-2026,Hiring Manager
ADLON Intelligent Solutions GmbH b,Automation QA Engineer,Germany,25-04-2026,Hiring Manager
Polygran GmbH a,Functional Test Engineer,Germany,25-04-2026,Hiring Manager
GSMB Agency GmbH a,Integration Test Engineer,Germany,25-04-2026,Hiring Manager
