company_name,role,country,date,hr_name
Inway Systems GmbH b,Data Analyst,Germany,25-04-2026,Hiring Manager
WP Nova GmbH a,Senior Data Analyst,Germany,25-04-2026,Hiring Manager
AIS alfaplan GmbH a,Business Intelligence Analyst,Germany,25-04-2026,Hiring Manager
Toowoxx IT GmbH a,MIS Analyst,Germany,25-04-2026,Hiring Manager
Toowoxx IT GmbH b,Reporting Analyst,Germany,25-04-2026,Hiring Manager
engineering people GmbH a,Power BI Developer,Germany,25-04-2026,Hiring Manager
ULDE – Die Ulmer Datenbank-Experten a,Data Reporting Analyst,Germany,25-04-2026,Hiring Manager
DREICAD GmbH a,Analytics Consultant,Germany,25-04-2026,Hiring Manager
DREICAD GmbH b,Business Data Analyst,Germany,25-04-2026,Hiring Manager
uysal consulting GmbH a,Data Insights Analyst,Germany,25-04-2026,Hiring Manager
uysal consulting GmbH b,Data Analyst,Germany,25-04-2026,Hiring Manager
OXITGEN AG - Ulm a,Senior Data Analyst,Germany,25-04-2026,Hiring Manager
OXITGEN AG - Ulm b,Business Intelligence Analyst,Germany,25-04-2026,Hiring Manager
