company_name,role,country,date,hr_name
Bee360 a,Senior Software Engineer,Germany,06-04-2026,Hiring Manager
Consiliari GmbH a,Lead Software Engineer,Germany,06-04-2026,Hiring Manager
Softwareschneiderei GmbH a,.NET Developer,Germany,06-04-2026,Hiring Manager
emediagroup GmbH a,Senior .NET Developer,Germany,06-04-2026,Hiring Manager
Codelution GmbH a,Backend Engineer,Germany,06-04-2026,Hiring Manager
Appmond a,Senior Backend Engineer,Germany,06-04-2026,Hiring Manager
Navigate AG a,Cloud Engineer,Germany,06-04-2026,Hiring Manager
cluetec GmbH a,Azure Cloud Engineer,Germany,06-04-2026,Hiring Manager
cluetec GmbH b,Microservices Developer,Germany,06-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Microservices Architect,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Software Architect,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Technical Lead,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Full Stack Developer (.NET + React),Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,API Developer,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Distributed Systems Engineer,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Platform Engineer,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,DevOps Engineer (Azure focused),Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Site Reliability Engineer (SRE),Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Cloud Platform Engineer,Germany,06-04-2026,Hiring Manager
INIT a,AI/ML Engineer,Germany,06-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Senior Software Engineer,Germany,06-04-2026,Hiring Manager
ILI.DIGITAL AG a,Lead Software Engineer,Germany,06-04-2026,Hiring Manager
Schwenk IT GmbH a,.NET Developer,Germany,06-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Senior .NET Developer,Germany,06-04-2026,Hiring Manager
NinjaConcept GmbH a,Backend Engineer,Germany,06-04-2026,Hiring Manager
Industrial Application Software GmbH a,Senior Backend Engineer,Germany,06-04-2026,Hiring Manager
reinheimer systemloesungen gmbh a,Cloud Engineer,Germany,06-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,Azure Cloud Engineer,Germany,06-04-2026,Hiring Manager
cosee GmbH a,Microservices Developer,Germany,06-04-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Microservices Architect,Germany,06-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Software Architect,Germany,06-04-2026,Hiring Manager
Bolinda Labs GmbH a,Technical Lead,Germany,06-04-2026,Hiring Manager
codecare software GmbH a,Full Stack Developer (.NET + React),Germany,06-04-2026,Hiring Manager
