company_name,role,country,date,hr_name
Bechtle IT-Systemhaus Karlsruhe a,Social Listening Analyst,Germany,25-04-2026,Hiring Manager
Pharmakon Software GmbH a,Media Intelligence Analyst,Germany,25-04-2026,Hiring Manager
awesome information technology GmbH a,Data Analyst,Germany,25-04-2026,Hiring Manager
DATEX Software GmbH a,Business Intelligence Analyst,Germany,25-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,Insights Analyst,Germany,25-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,Digital Analytics Specialist,Germany,25-04-2026,Hiring Manager
ITstrategen GmbH a,Reporting Analyst,Germany,25-04-2026,Hiring Manager
ITstrategen GmbH b,Marketing Intelligence Analyst,Germany,25-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,Communications Analyst,Germany,25-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Customer Insights Analyst,Germany,25-04-2026,Hiring Manager
BTS Technische Software GmbH a,Social Listening Analyst,Germany,25-04-2026,Hiring Manager
adesso SE a,Media Intelligence Analyst,Germany,25-04-2026,Hiring Manager
adesso SE b,Data Analyst,Germany,25-04-2026,Hiring Manager
