company_name,role,country,date,hr_name
Den Hartogh Logistics GmbH f,Operations Manager,Germany,27-04-2026,Hiring Manager
Den Hartogh Logistics GmbH g,Supply Chain Manager,Germany,27-04-2026,Hiring Manager
Den Hartogh Logistics GmbH h,Warehouse Manager,Germany,27-04-2026,Hiring Manager
Den Hartogh Logistics GmbH i,Logistics Manager,Germany,27-04-2026,Hiring Manager
Den Hartogh Logistics GmbH j,Inventory Manager,Germany,27-04-2026,Hiring Manager
Den Hartogh Logistics GmbH l,Supply Chain Executive,Germany,27-04-2026,Hiring Manager
Den Hartogh Logistics GmbH m,Logistics Operations Executive,Germany,27-04-2026,Hiring Manager
Den Hartogh Logistics GmbH n,Warehouse Operations Executive,Germany,27-04-2026,Hiring Manager
Den Hartogh Logistics GmbH o,Inventory Control Specialist,Germany,27-04-2026,Hiring Manager
Barlas Logistics GmbH a,Procurement Executive,Germany,27-04-2026,Hiring Manager
Barlas Logistics GmbH b,FMCG Operations Manager,Germany,27-04-2026,Hiring Manager
Barlas Logistics GmbH c,Distribution Executive,Germany,27-04-2026,Hiring Manager
Barlas Logistics GmbH d,Operations Coordinator,Germany,27-04-2026,Hiring Manager
BLG AutoTerminal Duisburg GmbH & Co KG a,Supply Chain Analyst,Germany,27-04-2026,Hiring Manager
