company_name,role,country,date,hr_name
code council GmbH a,Knowledge Management Analyst,Germany,27-04-2026,Hiring Manager
nterra integration GmbH a,Content Quality Analyst,Germany,27-04-2026,Hiring Manager
setis GmbH a,Content Analyst,Germany,27-04-2026,Hiring Manager
Communardo GmbH - Büro Darmstadt a,Documentation Specialist,Germany,27-04-2026,Hiring Manager
teambits a,Content Operations Analyst,Germany,27-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Information Management Analyst,Germany,27-04-2026,Hiring Manager
Future-App a,Content Governance Specialist,Germany,27-04-2026,Hiring Manager
Mulan IT Solutions a,Publishing Analyst,Germany,27-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Editorial Analyst,Germany,27-04-2026,Hiring Manager
IBS Consult a,Compliance Documentation Analyst,Germany,27-04-2026,Hiring Manager
IBS Consult b,Knowledge Operations Analyst,Germany,27-04-2026,Hiring Manager
