company_name,role,country,date,hr_name
MicroMAP IT & GIS Consultancy LLC,SQL Analyst,UAE,06-04-2026,Hiring Manager
Vision Technologies,Data Visualization Analyst,UAE,06-04-2026,Hiring Manager
AATMA IT SOLUTIONS,Market Research Analyst,UAE,06-04-2026,Hiring Manager
RIBS Technologies,Insights Analyst,UAE,06-04-2026,Hiring Manager
IT Company in Sharjah | Datumcode IT Services,Product Analyst,UAE,06-04-2026,Hiring Manager
Missan Computer,Performance Analyst,UAE,06-04-2026,Hiring Manager
WebSmarT IT Solutions,Data Operations Analyst,UAE,06-04-2026,Hiring Manager
ALTEC Middle East,MIS Analyst,UAE,06-04-2026,Hiring Manager
ALTEC Middle East - a,Decision Scientist (Junior),UAE,06-04-2026,Hiring Manager
One Sols - Web Design,Data Strategy Analyst,UAE,06-04-2026,Hiring Manager
Advanced Global Technologies FZE,Dashboard Developer,UAE,06-04-2026,Hiring Manager
AL ANEEQ COMPUTERS DEVICES TRADING LLC.SP,Data Analyst,UAE,06-04-2026,Hiring Manager
Super Computers Trading [Burhan PC],Business Intelligence Analyst,UAE,06-04-2026,Hiring Manager
Creative Fusion LLC,BI Analyst,UAE,06-04-2026,Hiring Manager
Touchworld Technology LLC,Market Research Analyst,UAE,06-04-2026,Hiring Manager
ePROMIS Solutions - SaaS Cloud ERP Software,Data Operations Analyst,UAE,06-04-2026,Hiring Manager
