company_name,role,country,date,hr_name
Chameleon Pharma Consulting Group,Drug Safety Physician,Germany,27-04-2026,Hiring Manager
ABACUS MEDICINE Berlin GmbH,Pharmacovigilance Physician,Germany,27-04-2026,Hiring Manager
ABACUS MEDICINE Berlin GmbH - a,Medical Safety Reviewer,Germany,27-04-2026,Hiring Manager
Alphalytik Pharmaservice,Safety Surveillance Lead,Germany,27-04-2026,Hiring Manager
pharma solutions GmbH,Clinical Safety Physician,Germany,27-04-2026,Hiring Manager
APTARION biotech AG,Pharmacovigilance Specialist (MD),Germany,27-04-2026,Hiring Manager
bbi-biotech GmbH,Medical Reviewer (PV),Germany,27-04-2026,Hiring Manager
BioGenes GmbH,Signal Detection Specialist,Germany,27-04-2026,Hiring Manager
Alacris Theranostics GmbH,Risk Management Physician,Germany,27-04-2026,Hiring Manager
Astra Biotech GmbH,Aggregate Safety Reporting Specialist,Germany,27-04-2026,Hiring Manager
InVivo BioTech Services GmbH - a Bruker company,Drug Safety Medical Advisor,Germany,27-04-2026,Hiring Manager
GENETEK BIOPHARMA GmbH,PV Medical Lead,Germany,27-04-2026,Hiring Manager
