company_name,role,country,date,hr_name
Communardo GmbH - Büro Darmstadt a,Senior Product Manager,Germany,27-04-2026,Hiring Manager
teambits a,Product Director,Germany,27-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Director of Product Management,Germany,27-04-2026,Hiring Manager
Future-App a,AI Product Manager,Germany,27-04-2026,Hiring Manager
Mulan IT Solutions a,Generative AI Product Manager,Germany,27-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Data Platform Product Manager,Germany,27-04-2026,Hiring Manager
IBS Consult a,Technical Product Manager,Germany,27-04-2026,Hiring Manager
IBS Consult b,Platform Product Manager,Germany,27-04-2026,Hiring Manager
ISRA VISION GmbH a,Product Strategy Manager,Germany,27-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Analytics Product Manager,Germany,27-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,SaaS Product Manager,Germany,27-04-2026,Hiring Manager
Plan Software GmbH a,Cloud Product Manager,Germany,27-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Head of Product,Germany,27-04-2026,Hiring Manager
EUROKEY Software GmbH a,Senior Product Manager,Germany,27-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Principal Product Manager,Germany,27-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Product Director,Germany,27-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Director of Product Management,Germany,27-04-2026,Hiring Manager
detacon GmbH a,AI Product Manager,Germany,27-04-2026,Hiring Manager
Is Predict GmbH a,Generative AI Product Manager,Germany,27-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Data Platform Product Manager,Germany,27-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Technical Product Manager,Germany,27-04-2026,Hiring Manager
itechx GmbH a,Platform Product Manager,Germany,27-04-2026,Hiring Manager
iX-tech GmbH a,Product Strategy Manager,Germany,27-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Analytics Product Manager,Germany,27-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,SaaS Product Manager,Germany,27-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,Cloud Product Manager,Germany,27-04-2026,Hiring Manager
PFPRO IT Services a,Head of Product,Germany,27-04-2026,Hiring Manager
INFOSERVE GmbH a,Senior Product Manager,Germany,27-04-2026,Hiring Manager
PIKON Deutschland AG a,Lead Product Manager,Germany,27-04-2026,Hiring Manager
Eyeled GmbH a,Principal Product Manager,Germany,27-04-2026,Hiring Manager
merios - it-solutions GmbH a,Product Director,Germany,27-04-2026,Hiring Manager
merios - it-solutions GmbH b,Director of Product Management,Germany,27-04-2026,Hiring Manager
Intex EDV-Software GmbH a,AI Product Manager,Germany,27-04-2026,Hiring Manager
Moltomedia GmbH a,Generative AI Product Manager,Germany,27-04-2026,Hiring Manager
Site Point GmbH a,Data Platform Product Manager,Germany,27-04-2026,Hiring Manager
Bonanza Software GmbH a,Technical Product Manager,Germany,27-04-2026,Hiring Manager
Basis Europe GmbH a,Platform Product Manager,Germany,27-04-2026,Hiring Manager
Basis Europe GmbH b,Product Strategy Manager,Germany,27-04-2026,Hiring Manager
Basis Europe GmbH c,Analytics Product Manager,Germany,27-04-2026,Hiring Manager
Basis Europe GmbH d,SaaS Product Manager,Germany,27-04-2026,Hiring Manager
Scheer PAS Deutschland GmbH a,Cloud Product Manager,Germany,27-04-2026,Hiring Manager
dinext. AG a,Head of Product,Germany,27-04-2026,Hiring Manager
optimIT GmbH a,Senior Product Manager,Germany,27-04-2026,Hiring Manager
optimIT GmbH b,Lead Product Manager,Germany,27-04-2026,Hiring Manager
optimIT GmbH c,Principal Product Manager,Germany,27-04-2026,Hiring Manager
RpDoc Solutions GmbH a,Product Director,Germany,27-04-2026,Hiring Manager
RealObjects GmbH a,Director of Product Management,Germany,27-04-2026,Hiring Manager
poslogix GmbH - innovative Kassensysteme a,AI Product Manager,Germany,27-04-2026,Hiring Manager
adesso SE c,Generative AI Product Manager,Germany,27-04-2026,Hiring Manager
Wenobis IT GmbH a,Data Platform Product Manager,Germany,27-04-2026,Hiring Manager
Talentmore AG a,Technical Product Manager,Germany,27-04-2026,Hiring Manager
Talentmore AG b,Platform Product Manager,Germany,27-04-2026,Hiring Manager
Talentmore AG c,Product Strategy Manager,Germany,27-04-2026,Hiring Manager
peloba GmbH a,Analytics Product Manager,Germany,27-04-2026,Hiring Manager
ma-x neue Medien & IT Services GmbH a,SaaS Product Manager,Germany,27-04-2026,Hiring Manager
web2perform UG (haftungsbeschränkt) a,Cloud Product Manager,Germany,27-04-2026,Hiring Manager
PREVISIONZ GmbH a,Head of Product,Germany,27-04-2026,Hiring Manager
Natif.ai a,Senior Product Manager,Germany,27-04-2026,Hiring Manager
Gast Solutions a,Lead Product Manager,Germany,27-04-2026,Hiring Manager
softgarden e-recruiting GmbH a,Principal Product Manager,Germany,27-04-2026,Hiring Manager
Algorithmic Solutions Software GmbH a,Product Director,Germany,27-04-2026,Hiring Manager
ARCHIBUS Solution Centers Germany-Saarbrücken GmbH a,Director of Product Management,Germany,27-04-2026,Hiring Manager
Max Planck Institute for Software Systems a,AI Product Manager,Germany,27-04-2026,Hiring Manager
BSNSoft Solutions GmbH a,Generative AI Product Manager,Germany,27-04-2026,Hiring Manager
IT Netzwerke Kreutzer & Tries GmbH a,Data Platform Product Manager,Germany,27-04-2026,Hiring Manager
Facility Management Software GIS PROJECT a,Technical Product Manager,Germany,27-04-2026,Hiring Manager
MBSol Internet Solutions a,Platform Product Manager,Germany,27-04-2026,Hiring Manager
e.Consult AG a,Product Strategy Manager,Germany,27-04-2026,Hiring Manager
e.Consult AG b,Analytics Product Manager,Germany,27-04-2026,Hiring Manager
ITMT - IT Media Thomé a,SaaS Product Manager,Germany,27-04-2026,Hiring Manager
ITMT - IT Media Thomé b,Cloud Product Manager,Germany,27-04-2026,Hiring Manager
AGILOS GmbH a,Head of Product,Germany,27-04-2026,Hiring Manager
3S Technologies GmbH a,Senior Product Manager,Germany,27-04-2026,Hiring Manager
3S Technologies GmbH b,Lead Product Manager,Germany,27-04-2026,Hiring Manager
vensas GmbH a,Principal Product Manager,Germany,27-04-2026,Hiring Manager
Ambimax® GmbH - OPEN Digitalgruppe a,Director of Product Management,Germany,27-04-2026,Hiring Manager
abraxas Software-Entwicklungsgesellschaft mbH a,AI Product Manager,Germany,27-04-2026,Hiring Manager
K|Lens GmbH a,Generative AI Product Manager,Germany,27-04-2026,Hiring Manager
aµs advanced microoptic systems gmbh a,Data Platform Product Manager,Germany,27-04-2026,Hiring Manager
abat+ GmbH a,Technical Product Manager,Germany,27-04-2026,Hiring Manager
abat+ GmbH b,Platform Product Manager,Germany,27-04-2026,Hiring Manager
abat+ GmbH c,Product Strategy Manager,Germany,27-04-2026,Hiring Manager
abat+ GmbH d,Analytics Product Manager,Germany,27-04-2026,Hiring Manager
abat+ GmbH e,SaaS Product Manager,Germany,27-04-2026,Hiring Manager
abat+ GmbH f,Cloud Product Manager,Germany,27-04-2026,Hiring Manager
abat+ GmbH g,Head of Product,Germany,27-04-2026,Hiring Manager
sequire technology GmbH a,Senior Product Manager,Germany,27-04-2026,Hiring Manager
Saarland Informatics Campus a,Lead Product Manager,Germany,27-04-2026,Hiring Manager
emplify software GmbH a,Principal Product Manager,Germany,27-04-2026,Hiring Manager
emplify software GmbH b,Product Director,Germany,27-04-2026,Hiring Manager
Axians Cloud & IT-Automation GmbH - Cloud & Managed Services Anbieter in Ulm a,Director of Product Management,Germany,27-04-2026,Hiring Manager
PeWa-Software a,AI Product Manager,Germany,27-04-2026,Hiring Manager
we.Beyond IT® | IT Systemhaus Ulm a,Generative AI Product Manager,Germany,27-04-2026,Hiring Manager
Public Cloud Group GmbH a,Data Platform Product Manager,Germany,27-04-2026,Hiring Manager
Bechtle IT-Systemhaus Ulm a,Technical Product Manager,Germany,27-04-2026,Hiring Manager
Systemhaus Ulm GmbH a,Platform Product Manager,Germany,27-04-2026,Hiring Manager
