company_name,role,country,date,hr_name
Mulan IT Solutions a,HR Executive,Germany,06-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Senior HR Executive,Germany,06-04-2026,Hiring Manager
IBS Consult a,HR Generalist,Germany,06-04-2026,Hiring Manager
ISRA VISION GmbH a,HR Operations Executive,Germany,06-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Talent Acquisition Coordinator,Germany,06-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Recruitment Coordinator,Germany,06-04-2026,Hiring Manager
Plan Software GmbH a,HR & Admin Executive,Germany,06-04-2026,Hiring Manager
ZWF IT + Consulting AG a,People Operations Executive,Germany,06-04-2026,Hiring Manager
EUROKEY Software GmbH a,HR Analyst,Germany,06-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Human Resources Specialist,Germany,06-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,HR Executive,Germany,06-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Senior HR Executive,Germany,06-04-2026,Hiring Manager
DIaLOGIKa GmbH a,HR Generalist,Germany,06-04-2026,Hiring Manager
detacon GmbH a,HR Operations Executive,Germany,06-04-2026,Hiring Manager
Is Predict GmbH a,Talent Acquisition Coordinator,Germany,06-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Recruitment Coordinator,Germany,06-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,HR & Admin Executive,Germany,06-04-2026,Hiring Manager
itechx GmbH a,People Operations Executive,Germany,06-04-2026,Hiring Manager
iX-tech GmbH a,HR Analyst,Germany,06-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Human Resources Specialist,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,HR Executive,Germany,06-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,Senior HR Executive,Germany,06-04-2026,Hiring Manager
