company_name,role,country,date,hr_name
Open Experience GmbH a,Embedded Software Engineer,Germany,27-04-2026,Hiring Manager
Bee360 a,Test Automation Engineer,Germany,27-04-2026,Hiring Manager
Consiliari GmbH a,Embedded Linux Engineer,Germany,27-04-2026,Hiring Manager
Softwareschneiderei GmbH a,BSP Engineer,Germany,27-04-2026,Hiring Manager
Compaile Solutions GmbH a,Systems Validation Engineer,Germany,27-04-2026,Hiring Manager
emediagroup GmbH a,QA Automation Engineer Embedded,Germany,27-04-2026,Hiring Manager
Codelution GmbH a,Linux Systems Engineer,Germany,27-04-2026,Hiring Manager
Appmond a,Firmware Test Engineer,Germany,27-04-2026,Hiring Manager
Navigate AG a,Platform Validation Engineer,Germany,27-04-2026,Hiring Manager
cluetec GmbH a,Storage Systems Engineer,Germany,27-04-2026,Hiring Manager
cluetec GmbH b,Embedded Software Engineer,Germany,27-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Test Automation Engineer,Germany,27-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Embedded Linux Engineer,Germany,27-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,BSP Engineer,Germany,27-04-2026,Hiring Manager
