company_name,role,country,date,hr_name
arconsis a,Inside Sales Manager,Germany,06-04-2026,Hiring Manager
IT-Choice Software GmbH a,Key Account Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,Sales Consultant,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH b,Revenue Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH c,Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH d,Deputy Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,Account Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,Inside Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,Territory Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,Regional Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH o,Business Development Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH p,Account Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH q,Inside Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH r,Territory Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH s,Regional Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH t,Key Account Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH u,Sales Consultant,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH v,Revenue Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH w,Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH x,Deputy Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aq,Sales Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH az,Revenue Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ba,Sales Manager,Germany,06-04-2026,Hiring Manager
MCC Software Engineering a,Regional Sales Manager,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH a,Sales Consultant,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH b,Revenue Manager,Germany,06-04-2026,Hiring Manager
n-komm GmbH a,Sales Manager,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Deputy Sales Manager,Germany,06-04-2026,Hiring Manager
Pharmakon Software GmbH a,Business Development Manager,Germany,06-04-2026,Hiring Manager
awesome information technology GmbH a,Account Manager,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,Territory Sales Manager,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,Regional Sales Manager,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH a,Key Account Manager,Germany,06-04-2026,Hiring Manager
Tooltec IT GmbH a,Regional Sales Manager,Germany,06-04-2026,Hiring Manager
InterConnect GmbH & Co. KG a,Key Account Manager,Germany,06-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe a,Sales Consultant,Germany,06-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe b,Revenue Manager,Germany,06-04-2026,Hiring Manager
Nesto Software GmbH a,Sales Manager,Germany,06-04-2026,Hiring Manager
PowMio GmbH a,Deputy Sales Manager,Germany,06-04-2026,Hiring Manager
AUNOVIS GmbH a,Business Development Manager,Germany,06-04-2026,Hiring Manager
movisens GmbH b,Inside Sales Manager,Germany,06-04-2026,Hiring Manager
ACT Smartware GmbH a,Territory Sales Manager,Germany,06-04-2026,Hiring Manager
NETSYNO Software GmbH a,Sales Consultant,Germany,06-04-2026,Hiring Manager
Internext GmbH Innovative IT-Lösungen a,Revenue Manager,Germany,06-04-2026,Hiring Manager
