company_name,role,country,date,hr_name
Mulan IT Solutions a,DB2 System Engineer,Germany,27-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Mainframe Engineer,Germany,27-04-2026,Hiring Manager
IBS Consult a,z/OS Engineer,Germany,27-04-2026,Hiring Manager
IBS Consult b,DB2 Database Administrator,Germany,27-04-2026,Hiring Manager
ISRA VISION GmbH a,Systems Programmer (Mainframe),Germany,27-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Infrastructure Engineer (Mainframe),Germany,27-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Production Support Engineer (L3),Germany,27-04-2026,Hiring Manager
Plan Software GmbH a,Enterprise Systems Engineer,Germany,27-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Platform Engineer (Mainframe),Germany,27-04-2026,Hiring Manager
EUROKEY Software GmbH a,Database Systems Specialist,Germany,27-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Mainframe Engineer,Germany,27-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,z/OS Engineer,Germany,27-04-2026,Hiring Manager
