company_name,role,country,date,hr_name
Baufi24 Baufinanzierung m,Trading Analyst,Germany,28-04-2026,Hiring Manager
Baufi24 Baufinanzierung n,Junior Trader,Germany,28-04-2026,Hiring Manager
Baufi24 Baufinanzierung o,Proprietary Trader,Germany,28-04-2026,Hiring Manager
"Deutsche Bank Immobilien Nadja Schwarzkopf, selbstständige Immobilienberaterin a",FX Trader,Germany,28-04-2026,Hiring Manager
"Deutsche Bank Immobilien Nadja Schwarzkopf, selbstständige Immobilienberaterin b",Derivatives Trader,Germany,28-04-2026,Hiring Manager
"Deutsche Bank Immobilien Nadja Schwarzkopf, selbstständige Immobilienberaterin c",Equity Index Trader,Germany,28-04-2026,Hiring Manager
"Deutsche Bank Immobilien Nadja Schwarzkopf, selbstständige Immobilienberaterin d",Market Analyst,Germany,28-04-2026,Hiring Manager
AGL Activ Services GmbH a,Financial Markets Analyst,Germany,28-04-2026,Hiring Manager
Consulting - Dipl.-Kfm Markus Hübner. a,Quantitative Analyst (Junior),Germany,28-04-2026,Hiring Manager
Gronau GmbH | Hannover a,Risk Analyst (Market Risk),Germany,28-04-2026,Hiring Manager
Hannoversche Volksbank eG KompetenzCenter Hannover-City a,Portfolio Analyst,Germany,28-04-2026,Hiring Manager
Exchange AG Deutschland a,Trading Desk Analyst,Germany,28-04-2026,Hiring Manager
"Evangelische Bank eG, Hannover b",Execution Trader,Germany,28-04-2026,Hiring Manager
