company_name,role,country,date,hr_name
Weiler Tief- und Rohrleitungsbau GmbH b,Project Manager Construction,Germany,28-04-2026,Hiring Manager
Aeternum Bau GmbH a,Senior Project Manager,Germany,28-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Bauwerkserhaltung • Bereich Süd • Standort Frankfurt a,Construction Manager,Germany,28-04-2026,Hiring Manager
A.D.O. Projekt GmbH a,Fit-out Project Manager,Germany,28-04-2026,Hiring Manager
Seidel Hoch- und Tiefbau GmbH & Co. KG a,Civil Project Manager,Germany,28-04-2026,Hiring Manager
Ahmatovic Bau GmbH a,Project Engineer Construction,Germany,28-04-2026,Hiring Manager
Heimrich Bau GmbH a,QA QC Manager Construction,Germany,28-04-2026,Hiring Manager
Bernhard Bank Baugeschäft e.K. a,Site Manager,Germany,28-04-2026,Hiring Manager
Bernhard Bank Baugeschäft e.K. b,Project Delivery Manager,Germany,28-04-2026,Hiring Manager
Bernhard Bank Baugeschäft e.K. c,Facilities Project Manager,Germany,28-04-2026,Hiring Manager
Bernhard Bank Baugeschäft e.K. d,CAPEX Project Manager,Germany,28-04-2026,Hiring Manager
Bernhard Bank Baugeschäft e.K. e,Infrastructure Project Manager,Germany,28-04-2026,Hiring Manager
"a5 Planung GmbH, Architektur | Ingenieurbüro a",Project Planning Manager,Germany,28-04-2026,Hiring Manager
"a5 Planung GmbH, Architektur | Ingenieurbüro b",Contracts Manager Construction,Germany,28-04-2026,Hiring Manager
"a5 Planung GmbH, Architektur | Ingenieurbüro c",Engineering Project Manager,Germany,28-04-2026,Hiring Manager
