company_name,role,country,date,hr_name
Vector Informatik GmbH m,Sales Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH n,Business Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH o,Revenue Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH p,Sales Administration Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH q,Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH r,Business Analyst Operations,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH s,Sales Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH t,MIS Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH u,Client Onboarding Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH v,Customer Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH w,Revenue Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH x,Process Improvement Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH y,CRM Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH z,Business Operations Executive,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH aa,Strategy and Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ab,Sales Support Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ac,Commercial Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ad,Operations Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ae,Business Performance Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH af,Operations Lead,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ag,Sales Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ah,Business Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ai,Revenue Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH aj,Sales Administration Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ak,Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH al,Business Analyst Operations,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH am,Sales Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH an,MIS Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ao,Client Onboarding Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ap,Customer Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH aq,Revenue Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ar,Process Improvement Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH as,CRM Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH at,Business Operations Executive,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ax,Operations Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ay,Business Performance Analyst,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH az,Operations Lead,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH ba,Sales Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH bb,Business Operations Manager,Germany,29-04-2026,Hiring Manager
Vector Informatik GmbH bc,Revenue Operations Manager,Germany,29-04-2026,Hiring Manager
DSC Software AG a,Sales Administration Manager,Germany,29-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Operations Manager,Germany,29-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Business Analyst Operations,Germany,29-04-2026,Hiring Manager
MCC Software Engineering a,Sales Analyst,Germany,29-04-2026,Hiring Manager
Jamit Labs GmbH a,MIS Analyst,Germany,29-04-2026,Hiring Manager
CodeWrights GmbH a,Client Onboarding Manager,Germany,29-04-2026,Hiring Manager
CodeWrights GmbH b,Customer Operations Manager,Germany,29-04-2026,Hiring Manager
n-komm GmbH a,Revenue Analyst,Germany,29-04-2026,Hiring Manager
