company_name,role,country,date,hr_name
BioTechPark Freiburg a,Healthcare Pharmacist,Germany,06-04-2026,Hiring Manager
4HF Biotec GmbH a,Hospital Pharmacist,Germany,06-04-2026,Hiring Manager
BioPharmaSpec GmbH a,Inpatient Pharmacist,Germany,06-04-2026,Hiring Manager
BioPharmaSpec GmbH c,Pharmacy Officer,Germany,06-04-2026,Hiring Manager
BioPharmaSpec GmbH d,Medication Safety Pharmacist,Germany,06-04-2026,Hiring Manager
BioPharmaSpec GmbH e,Drug Safety Associate,Germany,06-04-2026,Hiring Manager
EHRET GmbH Life Science Solutions a,Hospital Pharmacist,Germany,06-04-2026,Hiring Manager
Haupt Pharma Amareg GmbH - Aenova Regensburg a,Clinical Pharmacist,Germany,06-04-2026,Hiring Manager
ORGANO PHARMA GERMANY GmbH a,Pharmacy Officer,Germany,06-04-2026,Hiring Manager
phi Pharma International GmbH & Co. KG a,Hospital Pharmacist,Germany,06-04-2026,Hiring Manager
Novo Nordisk Pharma GmbH a,Clinical Pharmacist,Germany,06-04-2026,Hiring Manager
Umforana GmbH & Co. KG a,Inpatient Pharmacist,Germany,06-04-2026,Hiring Manager
HENNIG ARZNEIMITTEL GmbH & Co. KG a,Outpatient Pharmacist,Germany,06-04-2026,Hiring Manager
Euro Biomedico GmbH a,Pharmacy Officer,Germany,06-04-2026,Hiring Manager
BioNTech SE a,Medication Safety Pharmacist,Germany,06-04-2026,Hiring Manager
NEMIUS Medical Europe GmbH & Co. KG a,Pharmacy Executive,Germany,06-04-2026,Hiring Manager
Ferring GmbH h,Healthcare Pharmacist,Germany,06-04-2026,Hiring Manager
