company_name,role,country,date,hr_name
Innoface AG a,SAP FICO Consultant,Germany,03-04-2026,Hiring Manager
Innoface AG b,SAP FI Consultant,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,SAP Financial Consultant,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,SAP S/4HANA Consultant,Germany,03-04-2026,Hiring Manager
arconsis a,SAP ECC Consultant,Germany,03-04-2026,Hiring Manager
arconsis b,SAP Finance Consultant,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,SAP Functional Consultant,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,SAP FI CO Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,SAP Implementation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,SAP Support Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,SAP Business Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,ERP Consultant SAP,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,SAP Accounts Payable Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,SAP General Ledger Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,SAP Asset Accounting Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,SAP Integration Consultant FI,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,SAP Finance Transformation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,SAP Analyst FI,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,SAP Project Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,SAP Functional Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,SAP FICO Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,SAP FI Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,SAP Financial Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,SAP S/4HANA Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,SAP ECC Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,SAP Finance Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,SAP Functional Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,SAP FI CO Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,SAP Implementation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,SAP Support Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,SAP Business Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,ERP Consultant SAP,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,SAP Accounts Payable Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,SAP General Ledger Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,SAP Asset Accounting Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,SAP Integration Consultant FI,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,SAP Finance Transformation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,SAP Analyst FI,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,SAP Project Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,SAP Functional Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,SAP FICO Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,SAP FI Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,SAP Financial Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,SAP S/4HANA Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,SAP ECC Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,SAP Finance Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,SAP Functional Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,SAP FI CO Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,SAP Implementation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,SAP Support Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,SAP Business Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,ERP Consultant SAP,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,SAP Accounts Payable Consultant,Germany,03-04-2026,Hiring Manager
