company_name,role,country,date,hr_name
reinheimer systemloesungen gmbh a,RPA Developer,Germany,01-05-2026,Hiring Manager
Infranaut IT-Services GmbH a,Senior RPA Developer,Germany,01-05-2026,Hiring Manager
cosee GmbH a,Automation Engineer,Germany,01-05-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Intelligent Automation Engineer,Germany,01-05-2026,Hiring Manager
SMART DATA Deutschland GmbH b,UiPath Developer,Germany,01-05-2026,Hiring Manager
Bolinda Labs GmbH a,Blue Prism Developer,Germany,01-05-2026,Hiring Manager
codecare software GmbH a,Power Automate Developer,Germany,01-05-2026,Hiring Manager
NSK GmbH & Co. KG a,RPA Solution Architect,Germany,01-05-2026,Hiring Manager
SOFTTAILOR GmbH a,Automation Consultant,Germany,01-05-2026,Hiring Manager
blink.it a,Robotics Process Automation Engineer,Germany,01-05-2026,Hiring Manager
blink.it b,RPA Analyst,Germany,01-05-2026,Hiring Manager
basysKom GmbH a,Process Automation Engineer,Germany,01-05-2026,Hiring Manager
moguru GmbH a,AI Automation Engineer,Germany,01-05-2026,Hiring Manager
moguru GmbH b,Automation Lead,Germany,01-05-2026,Hiring Manager
moguru GmbH c,Digital Transformation Engineer,Germany,01-05-2026,Hiring Manager
projectfacts a,Workflow Automation Specialist,Germany,01-05-2026,Hiring Manager
projectfacts b,RPA Technical Lead,Germany,01-05-2026,Hiring Manager
PROSTEP AG a,Automation Architect,Germany,01-05-2026,Hiring Manager
PROSTEP AG b,Software Engineer Automation,Germany,01-05-2026,Hiring Manager
PROSTEP AG c,RPA Consultant,Germany,01-05-2026,Hiring Manager
PROSTEP AG d,RPA Developer,Germany,01-05-2026,Hiring Manager
PROSTEP AG e,Senior RPA Developer,Germany,01-05-2026,Hiring Manager
Cloud Consulting Europe a,Automation Engineer,Germany,01-05-2026,Hiring Manager
5 POINT AG a,Intelligent Automation Engineer,Germany,01-05-2026,Hiring Manager
MTG AG a,UiPath Developer,Germany,01-05-2026,Hiring Manager
Netwise Solutions a,Blue Prism Developer,Germany,01-05-2026,Hiring Manager
Spark 5 GmbH a,Power Automate Developer,Germany,01-05-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH a,RPA Solution Architect,Germany,01-05-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH b,Automation Consultant,Germany,01-05-2026,Hiring Manager
PEAK-System Technik GmbH a,Robotics Process Automation Engineer,Germany,01-05-2026,Hiring Manager
Jongerius & Partner IT Consulting a,RPA Analyst,Germany,01-05-2026,Hiring Manager
BidX a,Process Automation Engineer,Germany,01-05-2026,Hiring Manager
ALL4NET GmbH a,AI Automation Engineer,Germany,01-05-2026,Hiring Manager
acoris AG a,Automation Lead,Germany,01-05-2026,Hiring Manager
acoris AG b,Digital Transformation Engineer,Germany,01-05-2026,Hiring Manager
agorate GmbH a,Workflow Automation Specialist,Germany,01-05-2026,Hiring Manager
agorate GmbH b,RPA Technical Lead,Germany,01-05-2026,Hiring Manager
agorate GmbH c,Automation Architect,Germany,01-05-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH a,Software Engineer Automation,Germany,01-05-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH b,RPA Consultant,Germany,01-05-2026,Hiring Manager
CircuitByte GmbH a,RPA Developer,Germany,01-05-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,Senior RPA Developer,Germany,01-05-2026,Hiring Manager
Lange IT Solutions a,Automation Engineer,Germany,01-05-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,Intelligent Automation Engineer,Germany,01-05-2026,Hiring Manager
InterSystems GmbH a,UiPath Developer,Germany,01-05-2026,Hiring Manager
PROFI Engineering Systems AG a,Blue Prism Developer,Germany,01-05-2026,Hiring Manager
Adiccon GmbH a,Power Automate Developer,Germany,01-05-2026,Hiring Manager
wer denkt was GmbH a,RPA Solution Architect,Germany,01-05-2026,Hiring Manager
wer denkt was GmbH b,Automation Consultant,Germany,01-05-2026,Hiring Manager
wibas GmbH a,Robotics Process Automation Engineer,Germany,01-05-2026,Hiring Manager
wibas GmbH b,RPA Analyst,Germany,01-05-2026,Hiring Manager
UMGIS computer science GmbH a,Process Automation Engineer,Germany,01-05-2026,Hiring Manager
AONIC GmbH a,AI Automation Engineer,Germany,01-05-2026,Hiring Manager
ekom21 - KGRZ Hessen a,Automation Lead,Germany,01-05-2026,Hiring Manager
code council GmbH a,Digital Transformation Engineer,Germany,01-05-2026,Hiring Manager
nterra integration GmbH a,Workflow Automation Specialist,Germany,01-05-2026,Hiring Manager
setis GmbH a,RPA Technical Lead,Germany,01-05-2026,Hiring Manager
Communardo GmbH - Büro Darmstadt a,Automation Architect,Germany,01-05-2026,Hiring Manager
teambits a,RPA Developer,Germany,01-05-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Senior RPA Developer,Germany,01-05-2026,Hiring Manager
Future-App a,Automation Engineer,Germany,01-05-2026,Hiring Manager
Mulan IT Solutions a,Intelligent Automation Engineer,Germany,01-05-2026,Hiring Manager
PC-Profis Computer GmbH a,UiPath Developer,Germany,01-05-2026,Hiring Manager
IBS Consult a,Blue Prism Developer,Germany,01-05-2026,Hiring Manager
IBS Consult b,Power Automate Developer,Germany,01-05-2026,Hiring Manager
ISRA VISION GmbH a,RPA Solution Architect,Germany,01-05-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Automation Consultant,Germany,01-05-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Robotics Process Automation Engineer,Germany,01-05-2026,Hiring Manager
Plan Software GmbH a,RPA Analyst,Germany,01-05-2026,Hiring Manager
ZWF IT + Consulting AG a,Process Automation Engineer,Germany,01-05-2026,Hiring Manager
EUROKEY Software GmbH a,AI Automation Engineer,Germany,01-05-2026,Hiring Manager
