company_name,role,country,date,hr_name
Vektor Engineering GmbH - Business Unit 01,Inventory Analyst,Germany,06-04-2026,Hiring Manager
LeitOn GmbH - Leiterplatten aus Berlin,Production Planner,Germany,06-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 02,Process Improvement Engineer,Germany,06-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 03,Inventory Analyst,Germany,06-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 04,Operations Executive,Germany,06-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 05,Operations Manager,Germany,06-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 06,Production Manager,Germany,06-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 07,Manufacturing Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 01",Supply Chain Executive,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 02",Production Planner,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 04",Process Improvement Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 05",Inventory Analyst,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 06",Operations Executive,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 12",Quality Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 18",Manufacturing Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 21",Quality Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 22",Process Improvement Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 23",Inventory Analyst,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 38",Production Planner,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 39",Quality Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 43",Operations Manager,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 44",Production Manager,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 47",Production Planner,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 48",Quality Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 52",Operations Manager,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 53",Production Manager,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 54",Manufacturing Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 55",Supply Chain Executive,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 56",Production Planner,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 57",Quality Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 58",Process Improvement Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 59",Inventory Analyst,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 60",Operations Executive,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 66",Quality Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 70",Operations Manager,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 71",Production Manager,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 72",Manufacturing Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 73",Supply Chain Executive,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 74",Production Planner,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 75",Quality Engineer,Germany,06-04-2026,Hiring Manager
