company_name,role,country,date,hr_name
Internext GmbH Innovative IT-Lösungen a,PLM Engineer,Germany,04-05-2026,Hiring Manager
prenode GmbH a,ENOVIA Developer,Germany,04-05-2026,Hiring Manager
s.a.x. Software GmbH a,3DEXPERIENCE Engineer,Germany,04-05-2026,Hiring Manager
ANALYTICA GmbH a,PLM Consultant,Germany,04-05-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,PLM Support Engineer,Germany,04-05-2026,Hiring Manager
Unic GmbH a,PLM Analyst,Germany,04-05-2026,Hiring Manager
Open Experience GmbH a,Engineering Systems Engineer,Germany,04-05-2026,Hiring Manager
Bee360 a,Data Migration Engineer,Germany,04-05-2026,Hiring Manager
Consiliari GmbH a,Application Support Engineer (PLM),Germany,04-05-2026,Hiring Manager
Softwareschneiderei GmbH a,Product Lifecycle Management Specialist,Germany,04-05-2026,Hiring Manager
Compaile Solutions GmbH a,PLM Engineer,Germany,04-05-2026,Hiring Manager
emediagroup GmbH a,ENOVIA Developer,Germany,04-05-2026,Hiring Manager
Codelution GmbH a,3DEXPERIENCE Engineer,Germany,04-05-2026,Hiring Manager
