company_name,role,country,date,hr_name
moguru GmbH c,Generative AI Engineer,Germany,04-05-2026,Hiring Manager
projectfacts a,AI Engineer,Germany,04-05-2026,Hiring Manager
projectfacts b,Machine Learning Engineer,Germany,04-05-2026,Hiring Manager
PROSTEP AG a,NLP Engineer,Germany,04-05-2026,Hiring Manager
PROSTEP AG b,Data Scientist,Germany,04-05-2026,Hiring Manager
PROSTEP AG c,LLM Engineer,Germany,04-05-2026,Hiring Manager
PROSTEP AG d,Applied AI Engineer,Germany,04-05-2026,Hiring Manager
PROSTEP AG e,AI Automation Engineer,Germany,04-05-2026,Hiring Manager
Cloud Consulting Europe a,Intelligent Automation Engineer,Germany,04-05-2026,Hiring Manager
5 POINT AG a,AI Solutions Engineer,Germany,04-05-2026,Hiring Manager
MTG AG a,Generative AI Engineer,Germany,04-05-2026,Hiring Manager
Netwise Solutions a,AI Engineer,Germany,04-05-2026,Hiring Manager
Spark 5 GmbH a,Machine Learning Engineer,Germany,04-05-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH a,NLP Engineer,Germany,04-05-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH b,Data Scientist,Germany,04-05-2026,Hiring Manager
PEAK-System Technik GmbH a,LLM Engineer,Germany,04-05-2026,Hiring Manager
Jongerius & Partner IT Consulting a,Applied AI Engineer,Germany,04-05-2026,Hiring Manager
BidX a,AI Automation Engineer,Germany,04-05-2026,Hiring Manager
ALL4NET GmbH a,Intelligent Automation Engineer,Germany,04-05-2026,Hiring Manager
acoris AG a,AI Solutions Engineer,Germany,04-05-2026,Hiring Manager
