company_name,role,country,date,hr_name
cjt Systemsoftware AG a,Web Developer,Germany,06-04-2026,Hiring Manager
IT-Choice Software GmbH a,UI Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,Application Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH b,Full Stack Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH d,Software Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,JavaScript Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,React Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,Node.js Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,Web Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,UI Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH j,Application Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH k,Full Stack Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH l,Frontend Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH m,Software Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH n,JavaScript Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH o,React Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH p,Node.js Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH q,Web Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH r,UI Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH s,Application Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH t,Full Stack Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH u,Frontend Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH v,Software Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH w,JavaScript Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH x,React Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH y,Node.js Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aj,UI Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ak,Application Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH al,Full Stack Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH am,Frontend Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH an,Software Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ao,JavaScript Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ap,React Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aq,Node.js Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ar,Web Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH as,UI Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH at,Application Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH au,Full Stack Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH av,Frontend Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aw,Software Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ax,JavaScript Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ay,React Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ba,Web Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH bb,UI Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH bc,Application Developer,Germany,06-04-2026,Hiring Manager
DSC Software AG a,Full Stack Developer,Germany,06-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Frontend Developer,Germany,06-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Software Developer,Germany,06-04-2026,Hiring Manager
MCC Software Engineering a,JavaScript Developer,Germany,06-04-2026,Hiring Manager
Jamit Labs GmbH a,React Developer,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH a,Node.js Developer,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH b,Web Developer,Germany,06-04-2026,Hiring Manager
n-komm GmbH a,UI Developer,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Application Developer,Germany,06-04-2026,Hiring Manager
Pharmakon Software GmbH a,Full Stack Developer,Germany,06-04-2026,Hiring Manager
awesome information technology GmbH a,Frontend Developer,Germany,06-04-2026,Hiring Manager
DATEX Software GmbH a,Software Developer,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,JavaScript Developer,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,React Developer,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH a,Node.js Developer,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH b,Web Developer,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,UI Developer,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Application Developer,Germany,06-04-2026,Hiring Manager
BTS Technische Software GmbH a,Full Stack Developer,Germany,06-04-2026,Hiring Manager
adesso SE a,Frontend Developer,Germany,06-04-2026,Hiring Manager
adesso SE b,Software Developer,Germany,06-04-2026,Hiring Manager
Forterro Deutschland Abas GmbH a,JavaScript Developer,Germany,06-04-2026,Hiring Manager
KENBUN IT AG a,React Developer,Germany,06-04-2026,Hiring Manager
Tooltec IT GmbH a,Node.js Developer,Germany,06-04-2026,Hiring Manager
InterConnect GmbH & Co. KG a,Web Developer,Germany,06-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe a,UI Developer,Germany,06-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe b,Application Developer,Germany,06-04-2026,Hiring Manager
Nesto Software GmbH a,Full Stack Developer,Germany,06-04-2026,Hiring Manager
PowMio GmbH a,Frontend Developer,Germany,06-04-2026,Hiring Manager
AUNOVIS GmbH a,Software Developer,Germany,06-04-2026,Hiring Manager
