company_name,role,country,date,hr_name
Vector Informatik GmbH v,Data Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH w,ETL Developer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH x,Data Quality Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH y,Data Analyst,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH z,Automation Test Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH aa,Data Validation Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ab,BI Developer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ac,Analytics Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ad,Cloud Data Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ae,Reporting Analyst,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH af,Data Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ag,ETL Developer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ah,Data Quality Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ai,Data Analyst,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH aj,Automation Test Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ak,Data Validation Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH al,BI Developer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH am,Analytics Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH an,Cloud Data Engineer,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ao,Reporting Analyst,Germany,04-05-2026,Hiring Manager
