company_name,role,country,date,hr_name
Vector Informatik GmbH ao,Key Account Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ap,Senior Key Account Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH aq,Regional Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ar,Equipment Finance Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH as,Relationship Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH at,Corporate Sales Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH au,Business Development Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH av,Commercial Finance Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH aw,Vendor Finance Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ax,Lending Specialist,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ay,Key Account Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH az,Senior Key Account Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH ba,Regional Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH bb,Equipment Finance Manager,Germany,04-05-2026,Hiring Manager
Vector Informatik GmbH bc,Relationship Manager,Germany,04-05-2026,Hiring Manager
DSC Software AG a,Corporate Sales Manager,Germany,04-05-2026,Hiring Manager
emmtrix Technologies GmbH a,Business Development Manager,Germany,04-05-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Commercial Finance Manager,Germany,04-05-2026,Hiring Manager
MCC Software Engineering a,Vendor Finance Manager,Germany,04-05-2026,Hiring Manager
Jamit Labs GmbH a,Lending Specialist,Germany,04-05-2026,Hiring Manager
