company_name,role,country,date,hr_name
ARINNAU GmbH a,Backend Engineer,Germany,04-05-2026,Hiring Manager
ARINNAU GmbH b,Software Development Engineer,Germany,04-05-2026,Hiring Manager
ANUMA Regensburg – Softwareentwicklung & IT-Beratung a,Distributed Systems Engineer,Germany,04-05-2026,Hiring Manager
trinnovative GmbH a,Backend Developer,Germany,04-05-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg a,Cloud Backend Engineer,Germany,04-05-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg b,Platform Engineer,Germany,04-05-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg c,Microservices Engineer,Germany,04-05-2026,Hiring Manager
Bechtle IT-Systemhaus Regensburg a,Site Reliability Engineer,Germany,04-05-2026,Hiring Manager
ondeso GmbH – Client Management System – Software für OT a,API Engineer,Germany,04-05-2026,Hiring Manager
cs concept GmbH a,Systems Engineer,Germany,04-05-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG a,Backend Engineer,Germany,04-05-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG b,Software Development Engineer,Germany,04-05-2026,Hiring Manager
NoseDat a,Distributed Systems Engineer,Germany,04-05-2026,Hiring Manager
Gefasoft Engineering GmbH a,Backend Developer,Germany,04-05-2026,Hiring Manager
MIK Web a,Cloud Backend Engineer,Germany,04-05-2026,Hiring Manager
GEFASOFT Automation and Software GmbH Regensburg a,Platform Engineer,Germany,04-05-2026,Hiring Manager
Selbstdenker AG a,Microservices Engineer,Germany,04-05-2026,Hiring Manager
Smart IT Team GmbH & Co. KG a,Site Reliability Engineer,Germany,04-05-2026,Hiring Manager
OptWare GmbH a,API Engineer,Germany,04-05-2026,Hiring Manager
Force Net GmbH a,Systems Engineer,Germany,04-05-2026,Hiring Manager
