company_name,role,country,date,hr_name
CRITEX GmbH i,Frontend Engineer,Germany,04-05-2026,Hiring Manager
CRITEX GmbH j,Senior Frontend Developer,Germany,04-05-2026,Hiring Manager
CRITEX GmbH k,UI Engineer,Germany,04-05-2026,Hiring Manager
42 Coding Solutions GmbH | App- & Softwareentwicklung a,Angular Developer,Germany,04-05-2026,Hiring Manager
OPTITOOL GmbH a,React Developer,Germany,04-05-2026,Hiring Manager
OPTITOOL GmbH b,Frontend Software Engineer,Germany,04-05-2026,Hiring Manager
OPTITOOL GmbH c,Web Application Developer,Germany,04-05-2026,Hiring Manager
OPTITOOL GmbH d,UI Developer,Germany,04-05-2026,Hiring Manager
Eibl-IT GmbH a,SPA Developer,Germany,04-05-2026,Hiring Manager
IN-Solution GmbH a,Frontend Architect,Germany,04-05-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg a,Frontend Engineer,Germany,04-05-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg b,Senior Frontend Developer,Germany,04-05-2026,Hiring Manager
Number42 GmbH a,UI Engineer,Germany,04-05-2026,Hiring Manager
Number42 GmbH b,Angular Developer,Germany,04-05-2026,Hiring Manager
compustore Systems a,React Developer,Germany,04-05-2026,Hiring Manager
Comsysto Reply GmbH a,Frontend Software Engineer,Germany,04-05-2026,Hiring Manager
8Solutions Internet Service Provider a,Web Application Developer,Germany,04-05-2026,Hiring Manager
8Solutions Internet Service Provider b,UI Developer,Germany,04-05-2026,Hiring Manager
TM3 Software GmbH b,SPA Developer,Germany,04-05-2026,Hiring Manager
Graupner Software Engineering a,Frontend Architect,Germany,04-05-2026,Hiring Manager
