company_name,role,country,date,hr_name
JSL Automation GmbH a,Senior Business Analyst,Germany,04-05-2026,Hiring Manager
AVL Software and Functions GmbH a,IT Business Analyst,Germany,04-05-2026,Hiring Manager
AVL Software and Functions GmbH b,Functional Consultant,Germany,04-05-2026,Hiring Manager
iS Software GmbH a,Product Analyst,Germany,04-05-2026,Hiring Manager
Uncamino Digital Solutions GmbH a,Business Systems Analyst,Germany,04-05-2026,Hiring Manager
ARINNAU GmbH a,Technical Business Analyst,Germany,04-05-2026,Hiring Manager
ARINNAU GmbH b,Data Analyst (Business-focused),Germany,04-05-2026,Hiring Manager
ANUMA Regensburg – Softwareentwicklung & IT-Beratung a,Process Analyst,Germany,04-05-2026,Hiring Manager
trinnovative GmbH a,UAT Analyst,Germany,04-05-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg a,Requirements Analyst,Germany,04-05-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg b,Insurance Business Analyst,Germany,04-05-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg c,FinTech Business Analyst,Germany,04-05-2026,Hiring Manager
Bechtle IT-Systemhaus Regensburg a,Business Transformation Analyst,Germany,04-05-2026,Hiring Manager
ondeso GmbH – Client Management System – Software für OT a,Agile Business Analyst,Germany,04-05-2026,Hiring Manager
cs concept GmbH a,Consultant – Business Analysis,Germany,04-05-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG a,Senior Business Analyst,Germany,04-05-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG b,IT Business Analyst,Germany,04-05-2026,Hiring Manager
NoseDat a,Functional Consultant,Germany,04-05-2026,Hiring Manager
Gefasoft Engineering GmbH a,Product Analyst,Germany,04-05-2026,Hiring Manager
MIK Web a,Business Systems Analyst,Germany,04-05-2026,Hiring Manager
