company_name,role,country,date,hr_name
Professional Scientists GmbH & Co. KG d,Accounts Executive,Germany,04-05-2026,Hiring Manager
Professional Scientists GmbH & Co. KG e,Accounts Payable Specialist,Germany,04-05-2026,Hiring Manager
Professional Scientists GmbH & Co. KG f,Accounts Receivable Specialist,Germany,04-05-2026,Hiring Manager
Professional Scientists GmbH & Co. KG g,Finance Executive,Germany,04-05-2026,Hiring Manager
Professional Scientists GmbH & Co. KG h,Finance Assistant,Germany,04-05-2026,Hiring Manager
Professional Scientists GmbH & Co. KG i,Accounting Assistant,Germany,04-05-2026,Hiring Manager
Professional Scientists GmbH & Co. KG j,Bookkeeper,Germany,04-05-2026,Hiring Manager
Professional Scientists GmbH & Co. KG k,Junior Accountant,Germany,04-05-2026,Hiring Manager
Professional Scientists GmbH & Co. KG l,Accounts Officer,Germany,04-05-2026,Hiring Manager
TREAM GmbH a,Ledger Accountant,Germany,04-05-2026,Hiring Manager
Ingenieurbüro Altan - KFZ-Sachverständiger / Gutachter a,Billing Executive,Germany,04-05-2026,Hiring Manager
Urban pawnshop Stuttgart AG a,Cash and Bank Accountant,Germany,04-05-2026,Hiring Manager
Baker Tilly a,Reconciliation Specialist,Germany,04-05-2026,Hiring Manager
Gesellschaft für internationalen Creditschutz LIC-Deutschland mbH a,Finance Operations Executive,Germany,04-05-2026,Hiring Manager
Creditplus Bank AG - Filiale Köln a,Accounts Executive,Germany,04-05-2026,Hiring Manager
