company_name,role,country,date,hr_name
Baufi24 Baufinanzierung e,AML Analyst,Germany,04-05-2026,Hiring Manager
Baufi24 Baufinanzierung f,KYC Analyst,Germany,04-05-2026,Hiring Manager
Baufi24 Baufinanzierung g,Financial Crime Analyst,Germany,04-05-2026,Hiring Manager
Baufi24 Baufinanzierung h,Compliance Analyst,Germany,04-05-2026,Hiring Manager
Baufi24 Baufinanzierung i,Risk Analyst,Germany,04-05-2026,Hiring Manager
Baufi24 Baufinanzierung j,Sanctions Analyst,Germany,04-05-2026,Hiring Manager
Baufi24 Baufinanzierung k,EDD Analyst,Germany,04-05-2026,Hiring Manager
BNP Paribas Real Estate a,CDD Analyst,Germany,04-05-2026,Hiring Manager
Public Value Hub gUG (haftungsbeschränkt) a,Transaction Monitoring Analyst,Germany,04-05-2026,Hiring Manager
Technologiegründerfonds Sachsen Management GmbH & Co. KG a,Anti-Money Laundering Specialist,Germany,04-05-2026,Hiring Manager
SpinLab - The HHL Accelerator a,Financial Crime Investigator,Germany,04-05-2026,Hiring Manager
Deutsche Ärzte Finanz - Repräsentanz Randy Mackeldey-Knöfel a,Compliance Associate,Germany,04-05-2026,Hiring Manager
SAM Sachsen Asset Management GmbH a,Regulatory Compliance Analyst,Germany,04-05-2026,Hiring Manager
