company_name,role,country,date,hr_name
SEM GmbH Schaltschrankbau c,Electrical Design Engineer (Data Center),Germany,06-04-2026,Hiring Manager
SEM GmbH Schaltschrankbau d,Power Systems Engineer,Germany,06-04-2026,Hiring Manager
ISS engineering GmbH a,Facility Electrical Engineer,Germany,06-04-2026,Hiring Manager
InPro-electric GmbH a,Data Center Operations Engineer,Germany,06-04-2026,Hiring Manager
A. Leyrer Elektro & Sicherheit GmbH a,Data Center Fit-Out Engineer,Germany,06-04-2026,Hiring Manager
englert elektronik GmbH a,Electrical Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
Christian Warti - Helios Elektro-Meisterbetrieb a,Project Engineer Electrical,Germany,06-04-2026,Hiring Manager
Elektrotechnik und Elektronik Oltmann GmbH a,Site Electrical Engineer,Germany,06-04-2026,Hiring Manager
BSB Haustechnik GmbH a,Electrical Engineering Lead,Germany,06-04-2026,Hiring Manager
Likosys GmbH Elektroanlagen a,Data Center Delivery Manager,Germany,06-04-2026,Hiring Manager
Menzel Elektromotoren GmbH a,Energy Systems Engineer,Germany,06-04-2026,Hiring Manager
Siemens AG Meßgerätewerk Ro7 a,Electrical Maintenance Manager,Germany,06-04-2026,Hiring Manager
Siemens AG Meßgerätewerk Ro7 b,MEP Engineer (Electrical),Germany,06-04-2026,Hiring Manager
Siemens AG Meßgerätewerk Ro7 c,Data Center Electrical Engineer,Germany,06-04-2026,Hiring Manager
Siemens AG Meßgerätewerk Ro7 d,Electrical Project Manager,Germany,06-04-2026,Hiring Manager
LeitWerk Berlin GmbH a,Critical Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
PIK AG a,Data Center Project Engineer,Germany,06-04-2026,Hiring Manager
PIK AG b,MEP Project Manager (Electrical),Germany,06-04-2026,Hiring Manager
PIK AG c,Commissioning Engineer (Data Center),Germany,06-04-2026,Hiring Manager
EC POWER GmbH a,Electrical Design Engineer (Data Center),Germany,06-04-2026,Hiring Manager
EC POWER GmbH b,Power Systems Engineer,Germany,06-04-2026,Hiring Manager
Hager Vertriebsgesellschaft mbH & Co. KG Technisches Service Center Berlin a,Facility Electrical Engineer,Germany,06-04-2026,Hiring Manager
Hager Vertriebsgesellschaft mbH & Co. KG Technisches Service Center Berlin b,Data Center Operations Engineer,Germany,06-04-2026,Hiring Manager
Hager Vertriebsgesellschaft mbH & Co. KG Technisches Service Center Berlin c,Electrical Construction Manager,Germany,06-04-2026,Hiring Manager
Hager Vertriebsgesellschaft mbH & Co. KG Technisches Service Center Berlin d,Data Center Fit-Out Engineer,Germany,06-04-2026,Hiring Manager
Hager Vertriebsgesellschaft mbH & Co. KG Technisches Service Center Berlin e,Electrical Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
Hager Vertriebsgesellschaft mbH & Co. KG Technisches Service Center Berlin f,Project Engineer Electrical,Germany,06-04-2026,Hiring Manager
GMN electric GmbH a,MEP Project Manager (Electrical),Germany,06-04-2026,Hiring Manager
