company_name,role,country,date,hr_name
prenode GmbH a,Disaster Recovery Manager,Germany,04-05-2026,Hiring Manager
s.a.x. Software GmbH a,Business Continuity Manager,Germany,04-05-2026,Hiring Manager
ANALYTICA GmbH a,IT Resilience Manager,Germany,04-05-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,DR Specialist,Germany,04-05-2026,Hiring Manager
Unic GmbH a,BCP Specialist,Germany,04-05-2026,Hiring Manager
Open Experience GmbH a,IT Service Manager,Germany,04-05-2026,Hiring Manager
Bee360 a,Incident Manager,Germany,04-05-2026,Hiring Manager
Consiliari GmbH a,Infrastructure Manager IT,Germany,04-05-2026,Hiring Manager
Softwareschneiderei GmbH a,Cloud Operations Manager,Germany,04-05-2026,Hiring Manager
Compaile Solutions GmbH a,IT Operations Manager,Germany,04-05-2026,Hiring Manager
emediagroup GmbH a,Risk and Resilience Manager,Germany,04-05-2026,Hiring Manager
Codelution GmbH a,DR Engineer,Germany,04-05-2026,Hiring Manager
Appmond a,Business Continuity Analyst,Germany,04-05-2026,Hiring Manager
Navigate AG a,IT Governance Manager,Germany,04-05-2026,Hiring Manager
cluetec GmbH a,Service Delivery Manager IT,Germany,04-05-2026,Hiring Manager
cluetec GmbH b,IT Operations Analyst,Germany,04-05-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Disaster Recovery Analyst,Germany,04-05-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Cloud Infrastructure Engineer,Germany,04-05-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,IT Support Manager,Germany,04-05-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Technical Operations Manager,Germany,04-05-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Disaster Recovery Manager,Germany,04-05-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Business Continuity Manager,Germany,04-05-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,IT Resilience Manager,Germany,04-05-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,BCP Specialist,Germany,04-05-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,IT Service Manager,Germany,04-05-2026,Hiring Manager
INIT a,Incident Manager,Germany,04-05-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Infrastructure Manager IT,Germany,04-05-2026,Hiring Manager
ILI.DIGITAL AG a,Cloud Operations Manager,Germany,04-05-2026,Hiring Manager
Schwenk IT GmbH a,IT Operations Manager,Germany,04-05-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Risk and Resilience Manager,Germany,04-05-2026,Hiring Manager
NinjaConcept GmbH a,DR Engineer,Germany,04-05-2026,Hiring Manager
Industrial Application Software GmbH a,Business Continuity Analyst,Germany,04-05-2026,Hiring Manager
ERAB IT-Systems GmbH a,IT Governance Manager,Germany,04-05-2026,Hiring Manager
Bechtle IT-Systemhaus Darmstadt a,Service Delivery Manager IT,Germany,04-05-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH a,IT Operations Analyst,Germany,04-05-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH b,Disaster Recovery Analyst,Germany,04-05-2026,Hiring Manager
etalytics GmbH a,Cloud Infrastructure Engineer,Germany,04-05-2026,Hiring Manager
COSOBA GmbH a,IT Support Manager,Germany,04-05-2026,Hiring Manager
orquidea GmbH a,Disaster Recovery Manager,Germany,04-05-2026,Hiring Manager
orquidea GmbH b,Business Continuity Manager,Germany,04-05-2026,Hiring Manager
InteRES GmbH a,IT Resilience Manager,Germany,04-05-2026,Hiring Manager
reinheimer systemloesungen gmbh a,DR Specialist,Germany,04-05-2026,Hiring Manager
Infranaut IT-Services GmbH a,BCP Specialist,Germany,04-05-2026,Hiring Manager
cosee GmbH a,IT Service Manager,Germany,04-05-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Incident Manager,Germany,04-05-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Infrastructure Manager IT,Germany,04-05-2026,Hiring Manager
Bolinda Labs GmbH a,Cloud Operations Manager,Germany,04-05-2026,Hiring Manager
codecare software GmbH a,IT Operations Manager,Germany,04-05-2026,Hiring Manager
NSK GmbH & Co. KG a,Risk and Resilience Manager,Germany,04-05-2026,Hiring Manager
SOFTTAILOR GmbH a,DR Engineer,Germany,04-05-2026,Hiring Manager
blink.it a,Business Continuity Analyst,Germany,04-05-2026,Hiring Manager
blink.it b,IT Governance Manager,Germany,04-05-2026,Hiring Manager
basysKom GmbH a,Service Delivery Manager IT,Germany,04-05-2026,Hiring Manager
moguru GmbH a,IT Operations Analyst,Germany,04-05-2026,Hiring Manager
moguru GmbH b,Disaster Recovery Analyst,Germany,04-05-2026,Hiring Manager
moguru GmbH c,Cloud Infrastructure Engineer,Germany,04-05-2026,Hiring Manager
projectfacts a,IT Support Manager,Germany,04-05-2026,Hiring Manager
projectfacts b,Technical Operations Manager,Germany,04-05-2026,Hiring Manager
PROSTEP AG a,Disaster Recovery Manager,Germany,04-05-2026,Hiring Manager
PROSTEP AG b,Business Continuity Manager,Germany,04-05-2026,Hiring Manager
PROSTEP AG c,IT Resilience Manager,Germany,04-05-2026,Hiring Manager
PROSTEP AG d,DR Specialist,Germany,04-05-2026,Hiring Manager
PROSTEP AG e,BCP Specialist,Germany,04-05-2026,Hiring Manager
Cloud Consulting Europe a,IT Service Manager,Germany,04-05-2026,Hiring Manager
5 POINT AG a,Incident Manager,Germany,04-05-2026,Hiring Manager
MTG AG a,Infrastructure Manager IT,Germany,04-05-2026,Hiring Manager
