company_name,role,country,date,hr_name
Communardo GmbH - Büro Darmstadt a,Disaster Recovery Manager,Germany,04-05-2026,Hiring Manager
teambits a,DR Specialist,Germany,04-05-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,BCP Specialist,Germany,04-05-2026,Hiring Manager
Future-App a,IT Service Manager,Germany,04-05-2026,Hiring Manager
Mulan IT Solutions a,Incident Manager,Germany,04-05-2026,Hiring Manager
PC-Profis Computer GmbH a,Infrastructure Manager IT,Germany,04-05-2026,Hiring Manager
IBS Consult a,Cloud Operations Manager,Germany,04-05-2026,Hiring Manager
IBS Consult b,IT Operations Manager,Germany,04-05-2026,Hiring Manager
ISRA VISION GmbH a,Risk and Resilience Manager,Germany,04-05-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,DR Engineer,Germany,04-05-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Business Continuity Analyst,Germany,04-05-2026,Hiring Manager
Plan Software GmbH a,IT Governance Manager,Germany,04-05-2026,Hiring Manager
ZWF IT + Consulting AG a,Service Delivery Manager IT,Germany,04-05-2026,Hiring Manager
EUROKEY Software GmbH a,IT Operations Analyst,Germany,04-05-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Cloud Infrastructure Engineer,Germany,04-05-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,IT Support Manager,Germany,04-05-2026,Hiring Manager
DIaLOGIKa GmbH a,Technical Operations Manager,Germany,04-05-2026,Hiring Manager
detacon GmbH a,Disaster Recovery Manager,Germany,04-05-2026,Hiring Manager
Is Predict GmbH a,Business Continuity Manager,Germany,04-05-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,IT Resilience Manager,Germany,04-05-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,DR Specialist,Germany,04-05-2026,Hiring Manager
itechx GmbH a,BCP Specialist,Germany,04-05-2026,Hiring Manager
iX-tech GmbH a,IT Service Manager,Germany,04-05-2026,Hiring Manager
IKU GmbH & Co. KG a,Incident Manager,Germany,04-05-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,Infrastructure Manager IT,Germany,04-05-2026,Hiring Manager
ADD IT & Consulting GmbH a,Cloud Operations Manager,Germany,04-05-2026,Hiring Manager
PFPRO IT Services a,IT Operations Manager,Germany,04-05-2026,Hiring Manager
INFOSERVE GmbH a,Risk and Resilience Manager,Germany,04-05-2026,Hiring Manager
PIKON Deutschland AG a,DR Engineer,Germany,04-05-2026,Hiring Manager
Eyeled GmbH a,Business Continuity Analyst,Germany,04-05-2026,Hiring Manager
merios - it-solutions GmbH a,IT Governance Manager,Germany,04-05-2026,Hiring Manager
merios - it-solutions GmbH b,Service Delivery Manager IT,Germany,04-05-2026,Hiring Manager
Intex EDV-Software GmbH a,IT Operations Analyst,Germany,04-05-2026,Hiring Manager
Moltomedia GmbH a,Disaster Recovery Analyst,Germany,04-05-2026,Hiring Manager
Site Point GmbH a,Cloud Infrastructure Engineer,Germany,04-05-2026,Hiring Manager
Bonanza Software GmbH a,IT Support Manager,Germany,04-05-2026,Hiring Manager
Basis Europe GmbH a,Technical Operations Manager,Germany,04-05-2026,Hiring Manager
Basis Europe GmbH b,Disaster Recovery Manager,Germany,04-05-2026,Hiring Manager
Basis Europe GmbH c,Business Continuity Manager,Germany,04-05-2026,Hiring Manager
Basis Europe GmbH d,IT Resilience Manager,Germany,04-05-2026,Hiring Manager
Scheer PAS Deutschland GmbH a,DR Specialist,Germany,04-05-2026,Hiring Manager
dinext. AG a,BCP Specialist,Germany,04-05-2026,Hiring Manager
