company_name,role,country,date,hr_name
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg b,SAP FICO Consultant,Germany,04-05-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg c,SAP S/4HANA FICO Consultant,Germany,04-05-2026,Hiring Manager
Bechtle IT-Systemhaus Regensburg a,SAP Finance Consultant,Germany,04-05-2026,Hiring Manager
ondeso GmbH – Client Management System – Software für OT a,SAP Functional Consultant (FI/CO),Germany,04-05-2026,Hiring Manager
cs concept GmbH a,SAP Finance Lead,Germany,04-05-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG a,SAP Implementation Consultant,Germany,04-05-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG b,SAP Finance Transformation Consultant,Germany,04-05-2026,Hiring Manager
NoseDat a,SAP FI Consultant,Germany,04-05-2026,Hiring Manager
Gefasoft Engineering GmbH a,SAP CO Consultant,Germany,04-05-2026,Hiring Manager
MIK Web a,SAP Finance SME,Germany,04-05-2026,Hiring Manager
GEFASOFT Automation and Software GmbH Regensburg a,SAP FICO Consultant,Germany,04-05-2026,Hiring Manager
Selbstdenker AG a,SAP S/4HANA FICO Consultant,Germany,04-05-2026,Hiring Manager
Smart IT Team GmbH & Co. KG a,SAP Finance Consultant,Germany,04-05-2026,Hiring Manager
