company_name,role,country,date,hr_name
Innoface AG a,Embedded Software Engineer,Germany,03-04-2026,Hiring Manager
Innoface AG b,Embedded Systems Engineer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Automotive Software Engineer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Embedded C Developer,Germany,03-04-2026,Hiring Manager
arconsis a,ECU Software Engineer,Germany,03-04-2026,Hiring Manager
arconsis b,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Automotive Embedded Engineer,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Control Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Firmware Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Systems Engineer Automotive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Validation Engineer Automotive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Software Integration Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Embedded Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Mechatronics Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Real Time Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Automotive Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Software Engineer Embedded,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Technical Architect Embedded,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Automotive Control Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Embedded Solutions Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Embedded Software Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Embedded Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,Automotive Software Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Embedded C Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,ECU Software Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Automotive Embedded Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,Control Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Firmware Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,Systems Engineer Automotive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Validation Engineer Automotive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Software Integration Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,Embedded Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,Mechatronics Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Real Time Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Automotive Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,Software Engineer Embedded,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,Technical Architect Embedded,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Automotive Control Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,Embedded Solutions Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Embedded Software Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Embedded Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,Automotive Software Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,Embedded C Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,ECU Software Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,Automotive Embedded Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,Control Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,Firmware Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,Systems Engineer Automotive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,Validation Engineer Automotive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,Software Integration Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,Embedded Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH at,Mechatronics Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH au,Real Time Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH av,Automotive Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aw,Software Engineer Embedded,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ax,Technical Architect Embedded,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ay,Automotive Control Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH az,Embedded Solutions Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ba,Embedded Software Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bb,Embedded Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bc,Automotive Software Engineer,Germany,03-04-2026,Hiring Manager
DSC Software AG a,Embedded C Developer,Germany,03-04-2026,Hiring Manager
emmtrix Technologies GmbH a,ECU Software Engineer,Germany,03-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
MCC Software Engineering a,Automotive Embedded Engineer,Germany,03-04-2026,Hiring Manager
Jamit Labs GmbH a,Control Systems Engineer,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH a,Firmware Engineer,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH b,Systems Engineer Automotive,Germany,03-04-2026,Hiring Manager
n-komm GmbH a,Validation Engineer Automotive,Germany,03-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Software Integration Engineer,Germany,03-04-2026,Hiring Manager
Pharmakon Software GmbH a,Embedded Developer,Germany,03-04-2026,Hiring Manager
