company_name,role,country,date,hr_name
DB Schenker d,GIS Analyst,Germany,04-05-2026,Hiring Manager
DB Schenker e,Geospatial Analyst,Germany,04-05-2026,Hiring Manager
DB Schenker f,Remote Sensing Specialist,Germany,04-05-2026,Hiring Manager
DB Schenker g,Spatial Data Analyst,Germany,04-05-2026,Hiring Manager
DB Schenker h,GIS Developer,Germany,04-05-2026,Hiring Manager
DB Schenker i,Geomatics Engineer,Germany,04-05-2026,Hiring Manager
Sk Logistik Gmbh a,Environmental GIS Analyst,Germany,04-05-2026,Hiring Manager
Marketing Logistik Deutschland GmbH a,Geospatial Data Engineer,Germany,04-05-2026,Hiring Manager
HSW Logistics GmbH a,Cartographer,Germany,04-05-2026,Hiring Manager
Spedition Knauf GmbH a,GIS Consultant,Germany,04-05-2026,Hiring Manager
Duisburg Bulk Terminal GmbH a,GIS Analyst,Germany,04-05-2026,Hiring Manager
Brinker Fetten Logistik GmbH & Co.KG a,Geospatial Analyst,Germany,04-05-2026,Hiring Manager
hanse logistik a,Remote Sensing Specialist,Germany,04-05-2026,Hiring Manager
Peelen Transporte GmbH a,Spatial Data Analyst,Germany,04-05-2026,Hiring Manager
Peelen Transporte GmbH b,GIS Developer,Germany,04-05-2026,Hiring Manager
