company_name,role,country,date,hr_name
Medios Solutions Bonn GmbH b,QAQC Manager,Germany,04-05-2026,Hiring Manager
Klinische Pharmazie - Pharmazeutisches Institut b,Head of Quality Assurance,Germany,04-05-2026,Hiring Manager
Pharmazeutisches Institut der Universität Bonn a,Quality Systems Lead,Germany,04-05-2026,Hiring Manager
Pharmazeutisches Institut der Universität Bonn b,Pharmaceutical Quality Head,Germany,04-05-2026,Hiring Manager
Pharmazeutisches Institut der Universität Bonn c,Regulatory Affairs Specialist,Germany,04-05-2026,Hiring Manager
Haupt Pharma Münster GmbH a,QA Manager Pharma,Germany,04-05-2026,Hiring Manager
nutrimmun GmbH a,Quality Compliance Lead,Germany,04-05-2026,Hiring Manager
Confido Pharma GmbH a,QAQC Manager,Germany,04-05-2026,Hiring Manager
"Medi-Tech GmbH, Münster a",Regulatory Affairs Manager,Germany,04-05-2026,Hiring Manager
Diapharm GmbH & Co. KG a,Head of Quality Assurance,Germany,04-05-2026,Hiring Manager
SINTETICA GmbH a,GMP Compliance Manager,Germany,04-05-2026,Hiring Manager
