company_name,role,country,date,hr_name
Den Hartogh Logistics GmbH o,Strategic Sourcing Manager,Germany,05-05-2026,Hiring Manager
Barlas Logistics GmbH a,Procurement Manager,Germany,05-05-2026,Hiring Manager
Barlas Logistics GmbH b,Category Manager Procurement,Germany,05-05-2026,Hiring Manager
Barlas Logistics GmbH c,Supply Chain Manager,Germany,05-05-2026,Hiring Manager
Barlas Logistics GmbH d,Global Sourcing Manager,Germany,05-05-2026,Hiring Manager
BLG AutoTerminal Duisburg GmbH & Co KG a,Vendor Management Manager,Germany,05-05-2026,Hiring Manager
Pape Internationale Spedition GmbH a,Procurement Analyst,Germany,05-05-2026,Hiring Manager
Salloum Logistics GmbH a,Sourcing Specialist,Germany,05-05-2026,Hiring Manager
CM Intermodal Logistik GmbH a,Purchasing Manager,Germany,05-05-2026,Hiring Manager
CM Intermodal Logistik GmbH b,Procurement Consultant,Germany,05-05-2026,Hiring Manager
Rhein-See-Transport GmbH a,Supply Chain Analyst,Germany,05-05-2026,Hiring Manager
Rheinkraft International GmbH a,Category Specialist,Germany,05-05-2026,Hiring Manager
CR Logistic Germany GmbH a,Procurement Operations Manager,Germany,05-05-2026,Hiring Manager
Global Bulk Logistic GmbH a,Strategic Procurement Specialist,Germany,05-05-2026,Hiring Manager
D3T Duisburg Trimodal Terminal a,Contract Management Specialist,Germany,05-05-2026,Hiring Manager
RNS Logistik GmbH a,Sourcing Analyst,Germany,05-05-2026,Hiring Manager
Mk-Trans-Logistics a,Vendor Management Specialist,Germany,05-05-2026,Hiring Manager
Ruhrmann Logistik GmbH & Co. KG a,Procurement Executive,Germany,05-05-2026,Hiring Manager
Maintrans Internationale Spedition Gmbh a,Supply Chain Operations Manager,Germany,05-05-2026,Hiring Manager
YUXINOU Germany GmbH a,Procurement Lead,Germany,05-05-2026,Hiring Manager
YUXINOU Germany GmbH b,Strategic Sourcing Manager,Germany,05-05-2026,Hiring Manager
Fündgens GmbH & Co. KG a,Procurement Manager,Germany,05-05-2026,Hiring Manager
DB Schenker a,Category Manager Procurement,Germany,05-05-2026,Hiring Manager
DB Schenker b,Supply Chain Manager,Germany,05-05-2026,Hiring Manager
DB Schenker c,Global Sourcing Manager,Germany,05-05-2026,Hiring Manager
DB Schenker d,Vendor Management Manager,Germany,05-05-2026,Hiring Manager
DB Schenker e,Procurement Analyst,Germany,05-05-2026,Hiring Manager
DB Schenker f,Sourcing Specialist,Germany,05-05-2026,Hiring Manager
DB Schenker g,Purchasing Manager,Germany,05-05-2026,Hiring Manager
DB Schenker h,Procurement Consultant,Germany,05-05-2026,Hiring Manager
DB Schenker i,Supply Chain Analyst,Germany,05-05-2026,Hiring Manager
Sk Logistik Gmbh a,Category Specialist,Germany,05-05-2026,Hiring Manager
Marketing Logistik Deutschland GmbH a,Procurement Operations Manager,Germany,05-05-2026,Hiring Manager
HSW Logistics GmbH a,Strategic Procurement Specialist,Germany,05-05-2026,Hiring Manager
Spedition Knauf GmbH a,Contract Management Specialist,Germany,05-05-2026,Hiring Manager
Duisburg Bulk Terminal GmbH a,Sourcing Analyst,Germany,05-05-2026,Hiring Manager
Brinker Fetten Logistik GmbH & Co.KG a,Vendor Management Specialist,Germany,05-05-2026,Hiring Manager
hanse logistik a,Procurement Executive,Germany,05-05-2026,Hiring Manager
Peelen Transporte GmbH a,Supply Chain Operations Manager,Germany,05-05-2026,Hiring Manager
Peelen Transporte GmbH b,Procurement Lead,Germany,05-05-2026,Hiring Manager
Peelen Transporte GmbH c,Strategic Sourcing Manager,Germany,05-05-2026,Hiring Manager
AK Trans Duisburg GmbH i.G. a,Procurement Manager,Germany,05-05-2026,Hiring Manager
DEFRU LOGISTIK a,Category Manager Procurement,Germany,05-05-2026,Hiring Manager
VPower Logistik a,Supply Chain Manager,Germany,05-05-2026,Hiring Manager
VPower Logistik b,Global Sourcing Manager,Germany,05-05-2026,Hiring Manager
VPower Logistik c,Vendor Management Manager,Germany,05-05-2026,Hiring Manager
VPower Logistik d,Procurement Analyst,Germany,05-05-2026,Hiring Manager
VPower Logistik e,Sourcing Specialist,Germany,05-05-2026,Hiring Manager
VPower Logistik f,Purchasing Manager,Germany,05-05-2026,Hiring Manager
VPower Logistik g,Procurement Consultant,Germany,05-05-2026,Hiring Manager
VPower Logistik h,Supply Chain Analyst,Germany,05-05-2026,Hiring Manager
VPower Logistik i,Category Specialist,Germany,05-05-2026,Hiring Manager
VPower Logistik j,Procurement Operations Manager,Germany,05-05-2026,Hiring Manager
VPower Logistik k,Strategic Procurement Specialist,Germany,05-05-2026,Hiring Manager
VPower Logistik l,Contract Management Specialist,Germany,05-05-2026,Hiring Manager
Heinrich Maters Internationale Spedition GmbH & Co. KG a,Sourcing Analyst,Germany,05-05-2026,Hiring Manager
Heinrich Maters Internationale Spedition GmbH & Co. KG b,Vendor Management Specialist,Germany,05-05-2026,Hiring Manager
DSV a,Procurement Executive,Germany,05-05-2026,Hiring Manager
DSV b,Supply Chain Operations Manager,Germany,05-05-2026,Hiring Manager
Yilmaz Transporte a,Procurement Lead,Germany,05-05-2026,Hiring Manager
Yilmaz Transporte b,Strategic Sourcing Manager,Germany,05-05-2026,Hiring Manager
CFL cargo Deutschland GmbH a,Procurement Manager,Germany,05-05-2026,Hiring Manager
CFL cargo Deutschland GmbH b,Category Manager Procurement,Germany,05-05-2026,Hiring Manager
CFL cargo Deutschland GmbH c,Supply Chain Manager,Germany,05-05-2026,Hiring Manager
CFL cargo Deutschland GmbH d,Global Sourcing Manager,Germany,05-05-2026,Hiring Manager
Gombert Logistik & Services GmbH a,Vendor Management Manager,Germany,05-05-2026,Hiring Manager
JKH Logistic Services GmbH a,Procurement Analyst,Germany,05-05-2026,Hiring Manager
NRW Railexpress GmbH a,Sourcing Specialist,Germany,05-05-2026,Hiring Manager
NRW Railexpress GmbH b,Purchasing Manager,Germany,05-05-2026,Hiring Manager
Fromberger GmbH a,Procurement Consultant,Germany,05-05-2026,Hiring Manager
Wolfs Logistik a,Supply Chain Analyst,Germany,05-05-2026,Hiring Manager
Nitz & Co. Speditions-Kontor GmbH a,Category Specialist,Germany,05-05-2026,Hiring Manager
SBB Cargo Deutschland GmbH a,Procurement Operations Manager,Germany,05-05-2026,Hiring Manager
K3 Logistik GmbH,Strategic Procurement Specialist,Germany,05-05-2026,Hiring Manager
K3 Logistik GmbH - a,Contract Management Specialist,Germany,05-05-2026,Hiring Manager
K3 Logistik GmbH - b,Sourcing Analyst,Germany,05-05-2026,Hiring Manager
K3 Logistik GmbH - c,Vendor Management Specialist,Germany,05-05-2026,Hiring Manager
Lichte GmbH,Procurement Executive,Germany,05-05-2026,Hiring Manager
Millennium Shipping Duisburg GmbH,Supply Chain Operations Manager,Germany,05-05-2026,Hiring Manager
Millennium Shipping Duisburg GmbH - a,Procurement Lead,Germany,05-05-2026,Hiring Manager
ERR European Rail Rent GmbH,Strategic Sourcing Manager,Germany,05-05-2026,Hiring Manager
Linther SPEDITION GmbH,Procurement Manager,Germany,05-05-2026,Hiring Manager
Wolfgang Hess Internationale Spedition GmbH,Category Manager Procurement,Germany,05-05-2026,Hiring Manager
System-Logistik GmbH,Supply Chain Manager,Germany,05-05-2026,Hiring Manager
Enna Transport München,Global Sourcing Manager,Germany,05-05-2026,Hiring Manager
World Freight GmbH Internationale Spedition,Procurement Analyst,Germany,05-05-2026,Hiring Manager
World Freight GmbH Internationale Spedition - a,Sourcing Specialist,Germany,05-05-2026,Hiring Manager
World Freight GmbH Internationale Spedition - b,Purchasing Manager,Germany,05-05-2026,Hiring Manager
Logic Logistik & Service,Procurement Consultant,Germany,05-05-2026,Hiring Manager
Qualitrans GmbH - Internationale Spedition und Logistik,Supply Chain Analyst,Germany,05-05-2026,Hiring Manager
alpha trans air and ocean freight forwarding GmbH & Co. KG,Category Specialist,Germany,05-05-2026,Hiring Manager
alpha trans air and ocean freight forwarding GmbH & Co. KG - a,Procurement Operations Manager,Germany,05-05-2026,Hiring Manager
alpha trans air and ocean freight forwarding GmbH & Co. KG - b,Strategic Procurement Specialist,Germany,05-05-2026,Hiring Manager
alpha trans air and ocean freight forwarding GmbH & Co. KG - c,Contract Management Specialist,Germany,05-05-2026,Hiring Manager
alpha trans air and ocean freight forwarding GmbH & Co. KG - d,Sourcing Analyst,Germany,05-05-2026,Hiring Manager
alpha trans air and ocean freight forwarding GmbH & Co. KG - e,Vendor Management Specialist,Germany,05-05-2026,Hiring Manager
alpha trans air and ocean freight forwarding GmbH & Co. KG - f,Procurement Executive,Germany,05-05-2026,Hiring Manager
alpha trans air and ocean freight forwarding GmbH & Co. KG - g,Supply Chain Operations Manager,Germany,05-05-2026,Hiring Manager
GEORG Transporte & Logistik GmbH,Procurement Lead,Germany,05-05-2026,Hiring Manager
