company_name,role,country,date,hr_name
Baufi24 Baufinanzierung j,Accountant,Germany,05-05-2026,Hiring Manager
Baufi24 Baufinanzierung k,Senior Accountant,Germany,05-05-2026,Hiring Manager
BNP Paribas Real Estate a,Financial Accountant,Germany,05-05-2026,Hiring Manager
Public Value Hub gUG (haftungsbeschränkt) a,Accounts Executive,Germany,05-05-2026,Hiring Manager
Technologiegründerfonds Sachsen Management GmbH & Co. KG a,Accounts Manager,Germany,05-05-2026,Hiring Manager
SpinLab - The HHL Accelerator a,Finance Executive,Germany,05-05-2026,Hiring Manager
Deutsche Ärzte Finanz - Repräsentanz Randy Mackeldey-Knöfel a,Finance Manager,Germany,05-05-2026,Hiring Manager
SAM Sachsen Asset Management GmbH a,Tax Consultant,Germany,05-05-2026,Hiring Manager
Bausparkasse Schwäbisch Hall AG - Denny Heller a,GST Consultant,Germany,05-05-2026,Hiring Manager
VICUS GROUP GmbH a,Financial Analyst,Germany,05-05-2026,Hiring Manager
wetando Unternehmensberatung a,General Ledger Accountant,Germany,05-05-2026,Hiring Manager
Versicherungsmakler Schöbe a,Accounts Payable Specialist,Germany,05-05-2026,Hiring Manager
NORKON GmbH a,Accounts Receivable Specialist,Germany,05-05-2026,Hiring Manager
"Deutsche Bank Immobilien Markus Hering, selbstständiger Immobilienberater a",Compliance Analyst Finance,Germany,05-05-2026,Hiring Manager
"Deutsche Bank Immobilien Markus Hering, selbstständiger Immobilienberater b",Finance Operations Executive,Germany,05-05-2026,Hiring Manager
"Deutsche Bank Immobilien Markus Hering, selbstständiger Immobilienberater c",Accounting Analyst,Germany,05-05-2026,Hiring Manager
"Deutsche Bank Immobilien Markus Hering, selbstständiger Immobilienberater d",Tax Analyst,Germany,05-05-2026,Hiring Manager
ERGO Agentur Schumann a,Audit Executive,Germany,05-05-2026,Hiring Manager
Verbraucherzentrale Sachsen e.V. - Beratungszentrum Leipzig a,Finance and Accounts Manager,Germany,05-05-2026,Hiring Manager
OnREX GmbH a,Accountant,Germany,05-05-2026,Hiring Manager
Rosenberg Immobilien GmbH a,Senior Accountant,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig a,Financial Accountant,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig b,Accounts Executive,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig c,Accounts Manager,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig d,Finance Executive,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig e,Finance Manager,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig f,Tax Consultant,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig g,GST Consultant,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig h,Audit Associate,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig i,Financial Analyst,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig j,General Ledger Accountant,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig k,Accounts Payable Specialist,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig l,Accounts Receivable Specialist,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig m,Compliance Analyst Finance,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig n,Finance Operations Executive,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig o,Accounting Analyst,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig p,Tax Analyst,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig q,Audit Executive,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig r,Finance and Accounts Manager,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig s,Accountant,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig t,Senior Accountant,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig u,Financial Accountant,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig v,Accounts Executive,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig w,Accounts Manager,Germany,05-05-2026,Hiring Manager
Raiffeisen- und Volksbanken Touristik GmbH Niederlassung Leipzig x,Finance Executive,Germany,05-05-2026,Hiring Manager
