company_name,role,country,date,hr_name
Gronau GmbH | Hannover a,Accounts Receivable Specialist,Germany,05-05-2026,Hiring Manager
Hannoversche Volksbank eG KompetenzCenter Hannover-City a,AR Analyst,Germany,05-05-2026,Hiring Manager
Exchange AG Deutschland a,Order to Cash Specialist,Germany,05-05-2026,Hiring Manager
"Evangelische Bank eG, Hannover b",Collections Specialist,Germany,05-05-2026,Hiring Manager
Degussa Goldhandel GmbH c,Billing Analyst,Germany,05-05-2026,Hiring Manager
Centerscape Deutschland Gmbh & Co. KG a,Credit Control Analyst,Germany,05-05-2026,Hiring Manager
Hüttig & Rompf Baufinanzierung a,OTC Analyst,Germany,05-05-2026,Hiring Manager
BRW Finanz AG Hannover a,Finance Operations Analyst,Germany,05-05-2026,Hiring Manager
Hannover a,Accounts Receivable Executive,Germany,05-05-2026,Hiring Manager
Hannover b,Cash Application Specialist,Germany,05-05-2026,Hiring Manager
Hannover c,Accounts Receivable Specialist,Germany,05-05-2026,Hiring Manager
Hannover d,AR Analyst,Germany,05-05-2026,Hiring Manager
Creditplus Bank AG - Filiale Nürnberg a,Order to Cash Specialist,Germany,05-05-2026,Hiring Manager
UmweltBank AG a,Collections Specialist,Germany,05-05-2026,Hiring Manager
