company_name,role,country,date,hr_name
anaptis GmbH b,Senior Java Developer,Germany,05-05-2026,Hiring Manager
IBIS Prof. Thome AG - SAP-Systemanalysen a,Backend Engineer,Germany,05-05-2026,Hiring Manager
Datamesh a,Software Engineer (Java),Germany,05-05-2026,Hiring Manager
fidion GmbH Die Softwareschmiede in Franken a,Microservices Engineer,Germany,05-05-2026,Hiring Manager
IT-Projektschmiede a,Cloud Backend Engineer,Germany,05-05-2026,Hiring Manager
Noxum GmbH a,API Developer,Germany,05-05-2026,Hiring Manager
Noxum GmbH b,Full Stack Developer (Java Focus),Germany,05-05-2026,Hiring Manager
Lorey Computer - Malersoftware - Dachdeckersoftware a,Platform Engineer,Germany,05-05-2026,Hiring Manager
Hampel Software Engineering a,Lead Java Developer,Germany,05-05-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG a,Software Architect (Backend),Germany,05-05-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG b,Senior Java Developer,Germany,05-05-2026,Hiring Manager
WVV iT solutions a,Backend Engineer,Germany,05-05-2026,Hiring Manager
solvatio AG a,Software Engineer (Java),Germany,05-05-2026,Hiring Manager
