company_name,role,country,date,hr_name
EMH metering GmbH & Co. KG a,Electrical Engineer,Germany,05-05-2026,Hiring Manager
HausEtage E+H UG (haftungsbeschränkt) a,Electrical Maintenance Engineer,Germany,05-05-2026,Hiring Manager
NOT-IT Solutions GmbH a,Facility Engineer,Germany,05-05-2026,Hiring Manager
CSD Ingenieure a,Facility Supervisor,Germany,05-05-2026,Hiring Manager
CSD Ingenieure b,Facility Manager,Germany,05-05-2026,Hiring Manager
HZ-Bauprojekte UG a,Maintenance Engineer (Electrical),Germany,05-05-2026,Hiring Manager
ÖKOVOLT GmbH Solartechnik a,MEP Engineer,Germany,05-05-2026,Hiring Manager
EHS-LU GmbH | Solar- & Energielösungen | Elektrotechnik | SHK a,Power Systems Engineer,Germany,05-05-2026,Hiring Manager
Y - E Yücel Elektro GmbH a,Utilities Engineer,Germany,05-05-2026,Hiring Manager
Y - E Yücel Elektro GmbH b,Electrical Operations Engineer,Germany,05-05-2026,Hiring Manager
Y - E Yücel Elektro GmbH c,BMS Engineer,Germany,05-05-2026,Hiring Manager
Y - E Yücel Elektro GmbH d,HVAC & Electrical Engineer,Germany,05-05-2026,Hiring Manager
Y - E Yücel Elektro GmbH e,Industrial Electrical Engineer,Germany,05-05-2026,Hiring Manager
Y - E Yücel Elektro GmbH f,Site Engineer (Electrical),Germany,05-05-2026,Hiring Manager
