company_name,role,country,date,hr_name
WSK FinanzKanzlei GmbH a,Payments Analyst,Germany,05-05-2026,Hiring Manager
CS Finance & Accounting GmbH a,Payments Operations Analyst,Germany,05-05-2026,Hiring Manager
FinanzNet Holding AG a,Banking Operations Executive,Germany,05-05-2026,Hiring Manager
COLOGNE PAYMENT CONSULTING a,Transaction Processing Analyst,Germany,05-05-2026,Hiring Manager
KERN - M&A Beratung für Unternehmensnachfolge in Köln & Bonn a,Reconciliation Analyst,Germany,05-05-2026,Hiring Manager
Köberich Financial Lines GmbH & Co. KG a,SWIFT Operations Analyst,Germany,05-05-2026,Hiring Manager
LBS Köln Neumarkt a,Fintech Operations Executive,Germany,05-05-2026,Hiring Manager
LBS Köln Neumarkt b,Payment Processing Specialist,Germany,05-05-2026,Hiring Manager
LBS Köln Neumarkt c,Operations Analyst Banking,Germany,05-05-2026,Hiring Manager
LBS Köln Neumarkt d,Financial Operations Analyst,Germany,05-05-2026,Hiring Manager
LBS Köln Neumarkt e,Compliance Analyst Banking,Germany,05-05-2026,Hiring Manager
LBS Köln Neumarkt f,Settlement Analyst,Germany,05-05-2026,Hiring Manager
LBS Köln Neumarkt g,Wire Transfer Specialist,Germany,05-05-2026,Hiring Manager
