company_name,role,country,date,hr_name
cjt Systemsoftware AG a,Analytics Product Manager,Germany,06-04-2026,Hiring Manager
IT-Choice Software GmbH a,Platform Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,Growth Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH b,Product Strategy Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH d,Senior Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,GenAI Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,Data Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,SaaS Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,Product Lead AI,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,Analytics Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH j,Platform Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH k,Growth Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH l,Product Strategy Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH m,AI Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH n,Senior Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH o,GenAI Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH p,Data Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH q,SaaS Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH r,Product Lead AI,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH s,Analytics Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH t,Platform Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH u,Growth Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH v,Product Strategy Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH w,AI Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH x,Senior Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH y,GenAI Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH z,Data Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aa,SaaS Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ab,Product Lead AI,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH am,Analytics Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH an,Platform Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ao,Growth Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ap,Product Strategy Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aq,AI Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ar,Senior Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH as,GenAI Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH at,Data Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH au,SaaS Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH av,Product Lead AI,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aw,Analytics Product Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ax,Platform Product Manager,Germany,06-04-2026,Hiring Manager
