company_name,role,country,date,hr_name
Berliner Express Logistic a,EU MDR Specialist,Germany,06-04-2026,Hiring Manager
SAATKARY CARGO Kurierdienst & Spedition a,IVDR Specialist,Germany,06-04-2026,Hiring Manager
Marathon International Logistics GmbH a,Clinical Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
Twins Logistics GmbH a,IVD Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
blue freight service GmbH Berlin a,Regulatory Affairs Program Manager,Germany,06-04-2026,Hiring Manager
blue freight service GmbH Berlin b,Senior Regulatory Affairs Manager,Germany,06-04-2026,Hiring Manager
blue freight service GmbH Berlin d,Regulatory Affairs Consultant,Germany,06-04-2026,Hiring Manager
Haberling GmbH & Co. Int. KG Sped. a,Regulatory Affairs Lead,Germany,06-04-2026,Hiring Manager
secure smart logistics a,Global Regulatory Affairs Manager,Germany,06-04-2026,Hiring Manager
secure smart logistics b,Clinical Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
Black Deer Saxony UG a,Regulatory Affairs Program Manager,Germany,06-04-2026,Hiring Manager
Move to Berlin - Relocation Service & Real Estate GbR a,Senior Regulatory Affairs Manager,Germany,06-04-2026,Hiring Manager
HLS Hafenlager Service GmbH h,Regulatory Affairs Consultant,Germany,06-04-2026,Hiring Manager
HLS Hafenlager Service GmbH i,Medical Device Regulatory Specialist,Germany,06-04-2026,Hiring Manager
HLS Hafenlager Service GmbH j,Regulatory Affairs Lead,Germany,06-04-2026,Hiring Manager
HLS Hafenlager Service GmbH l,EU MDR Specialist,Germany,06-04-2026,Hiring Manager
HLS Hafenlager Service GmbH m,IVDR Specialist,Germany,06-04-2026,Hiring Manager
Anhalt Logistics GmbH & Co.KG a,Quality and Regulatory Manager,Germany,06-04-2026,Hiring Manager
Heinrich Zoder Spedition GmbH - Logistics Hamburg a,Regulatory Compliance Manager,Germany,06-04-2026,Hiring Manager
ASC Logistics GmbH a,Senior Regulatory Affairs Manager,Germany,06-04-2026,Hiring Manager
CGATE Logistics GmbH a,Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
CGATE Logistics GmbH c,Medical Device Regulatory Specialist,Germany,06-04-2026,Hiring Manager
CGATE Logistics GmbH d,Regulatory Affairs Lead,Germany,06-04-2026,Hiring Manager
CGATE Logistics GmbH i,Clinical Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
NL-Logistics GmbH a,Regulatory Affairs Program Manager,Germany,06-04-2026,Hiring Manager
Blue Water Shipping Germany GmbH a,Senior Regulatory Affairs Manager,Germany,06-04-2026,Hiring Manager
IGS Intermodal Container Logistics GmbH a,Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
Intercontinental Logistic Services ILS GmbH a,Regulatory Affairs Lead,Germany,06-04-2026,Hiring Manager
DDS EXPRESS Logistik GmbH a,Regulatory Strategy Manager,Germany,06-04-2026,Hiring Manager
EKB Container Logistik GmbH & Co. KG a,EU MDR Specialist,Germany,06-04-2026,Hiring Manager
GO! Express & Logistics Hamburg AG a,Global Regulatory Affairs Manager,Germany,06-04-2026,Hiring Manager
GO! Express & Logistics Hamburg AG b,Clinical Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
Cetus Maritime a,SaMD Regulatory Specialist,Germany,06-04-2026,Hiring Manager
Cetus Maritime b,IVD Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
Cetus Maritime c,Quality and Regulatory Manager,Germany,06-04-2026,Hiring Manager
Cetus Maritime d,Regulatory Compliance Manager,Germany,06-04-2026,Hiring Manager
Cetus Maritime e,Regulatory Affairs Program Manager,Germany,06-04-2026,Hiring Manager
Cetus Maritime f,Senior Regulatory Affairs Manager,Germany,06-04-2026,Hiring Manager
ECL Euro-Cargo-Logistik Kontor GmbH a,Regulatory Affairs Specialist,Germany,06-04-2026,Hiring Manager
ECL Euro-Cargo-Logistik Kontor GmbH b,Regulatory Affairs Consultant,Germany,06-04-2026,Hiring Manager
ECL Euro-Cargo-Logistik Kontor GmbH c,Medical Device Regulatory Specialist,Germany,06-04-2026,Hiring Manager
