company_name,role,country,date,hr_name
Danske Bank a,Branch Operations Manager,Germany,05-05-2026,Hiring Manager
Danske Bank b,Banking Operations Manager,Germany,05-05-2026,Hiring Manager
Bank Saderat Iran Zweigniederlassung Hamburg a,Customer Service Manager Banking,Germany,05-05-2026,Hiring Manager
Bank Saderat Iran Zweigniederlassung Hamburg b,Branch Manager,Germany,05-05-2026,Hiring Manager
中国银行汉堡分行 a,Assistant Branch Manager,Germany,05-05-2026,Hiring Manager
Hoerner Bank AG - Repräsentanz Hamburg a,Operations Manager Banking,Germany,05-05-2026,Hiring Manager
Braunschweiger Privatbank - Repräsentanz Hamburg a,Relationship Manager,Germany,05-05-2026,Hiring Manager
LBBW Landesbank Baden-Württemberg (Hamburg) a,Retail Banking Manager,Germany,05-05-2026,Hiring Manager
Norddeutsche Edelmetall Scheideanstalt GmbH a,Service Delivery Manager Banking,Germany,05-05-2026,Hiring Manager
bfi Inkasso & Factoring Hamburg Versicherung Versandhandel Forderungsmangement a,Sales Support Manager Banking,Germany,05-05-2026,Hiring Manager
Zwerkbank a,Branch Operations Manager,Germany,05-05-2026,Hiring Manager
Deutsche Personalberatung - DPB - GmbH & Co. KG a,Banking Operations Manager,Germany,05-05-2026,Hiring Manager
Deutsche Personalberatung - DPB - GmbH & Co. KG b,Customer Service Manager Banking,Germany,05-05-2026,Hiring Manager
Deutsche Personalberatung - DPB - GmbH & Co. KG c,Branch Manager,Germany,05-05-2026,Hiring Manager
