company_name,role,country,date,hr_name
Innoface AG a,SOC Analyst L3,Germany,03-04-2026,Hiring Manager
Innoface AG b,SOC Lead,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Incident Response Analyst,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Incident Response Manager,Germany,03-04-2026,Hiring Manager
arconsis a,Cyber Security Analyst,Germany,03-04-2026,Hiring Manager
arconsis b,Security Operations Engineer,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Threat Hunter,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,SIEM Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Detection Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Security Analyst L2/L3,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Cyber Defense Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Blue Team Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,SOC Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Information Security Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Security Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Threat Intelligence Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,SOC Analyst L3,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,SOC Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Incident Response Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Incident Response Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Cyber Security Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Security Operations Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,Threat Hunter,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,SIEM Engineer,Germany,03-04-2026,Hiring Manager
