company_name,role,country,date,hr_name
ISD Software und Systeme GmbH a,SAP Finance Analyst,Germany,06-05-2026,Hiring Manager
immersight GmbH a,SAP FICO Analyst,Germany,06-05-2026,Hiring Manager
Axians Infoma GmbH a,Finance Analyst,Germany,06-05-2026,Hiring Manager
digital ZEIT GmbH a,Accounts Payable Specialist,Germany,06-05-2026,Hiring Manager
Gerling Consulting GmbH a,Accounts Receivable Specialist,Germany,06-05-2026,Hiring Manager
Lemonize GmbH a,P2P Analyst,Germany,06-05-2026,Hiring Manager
Metricsiro - Das IT-Systemhaus in Ulm a,R2R Analyst,Germany,06-05-2026,Hiring Manager
Inworks GmbH a,Financial Analyst,Germany,06-05-2026,Hiring Manager
Inworks GmbH b,SAP Consultant Finance,Germany,06-05-2026,Hiring Manager
mercatis GmbH a,Finance Operations Executive,Germany,06-05-2026,Hiring Manager
global IT systems GmbH a,Accounting Analyst,Germany,06-05-2026,Hiring Manager
aurivus GmbH a,SAP Ariba Consultant,Germany,06-05-2026,Hiring Manager
bll computersysteme GmbH & Co. KG Systemhaus Ulm a,Procurement Finance Analyst,Germany,06-05-2026,Hiring Manager
alphaQuest GmbH a,Compliance Analyst Finance,Germany,06-05-2026,Hiring Manager
Bortoli IT | Software | Services a,Invoice Processing Specialist,Germany,06-05-2026,Hiring Manager
IT sure GmbH a,Vendor Management Executive,Germany,06-05-2026,Hiring Manager
IT sure GmbH b,Finance Executive,Germany,06-05-2026,Hiring Manager
ATR Software GmbH a,ERP Finance Analyst,Germany,06-05-2026,Hiring Manager
ProntoWeb GmbH a,Accounts Executive,Germany,06-05-2026,Hiring Manager
BS software development GmbH & Co. KG a,Finance and Accounts Analyst,Germany,06-05-2026,Hiring Manager
BS software development GmbH & Co. KG b,SAP Finance Analyst,Germany,06-05-2026,Hiring Manager
GPS Gesellschaft zur Prüfung von Software mbH a,SAP FICO Analyst,Germany,06-05-2026,Hiring Manager
THiiiNK GmbH a,Finance Analyst,Germany,06-05-2026,Hiring Manager
MacSystem GmbH a,Accounts Payable Specialist,Germany,06-05-2026,Hiring Manager
wescaleIT AG a,Accounts Receivable Specialist,Germany,06-05-2026,Hiring Manager
oput GmbH a,P2P Analyst,Germany,06-05-2026,Hiring Manager
BITE GmbH a,R2R Analyst,Germany,06-05-2026,Hiring Manager
D9T GmbH a,Financial Analyst,Germany,06-05-2026,Hiring Manager
preeco GmbH a,SAP Consultant Finance,Germany,06-05-2026,Hiring Manager
Informaticon Deutschland GmbH a,Finance Operations Executive,Germany,06-05-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG a,Accounting Analyst,Germany,06-05-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG b,SAP Ariba Consultant,Germany,06-05-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG c,Procurement Finance Analyst,Germany,06-05-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG d,Compliance Analyst Finance,Germany,06-05-2026,Hiring Manager
Schwaben Systems GmbH a,Invoice Processing Specialist,Germany,06-05-2026,Hiring Manager
Schwaben Systems GmbH b,Vendor Management Executive,Germany,06-05-2026,Hiring Manager
Palark GmbH a,Finance Executive,Germany,06-05-2026,Hiring Manager
ADLON Intelligent Solutions GmbH a,ERP Finance Analyst,Germany,06-05-2026,Hiring Manager
ADLON Intelligent Solutions GmbH b,Accounts Executive,Germany,06-05-2026,Hiring Manager
Polygran GmbH a,Finance and Accounts Analyst,Germany,06-05-2026,Hiring Manager
GSMB Agency GmbH a,SAP Finance Analyst,Germany,06-05-2026,Hiring Manager
IT Consulting Kühnl a,SAP FICO Analyst,Germany,06-05-2026,Hiring Manager
Inway Systems GmbH a,Finance Analyst,Germany,06-05-2026,Hiring Manager
Inway Systems GmbH b,Accounts Payable Specialist,Germany,06-05-2026,Hiring Manager
WP Nova GmbH a,Accounts Receivable Specialist,Germany,06-05-2026,Hiring Manager
AIS alfaplan GmbH a,P2P Analyst,Germany,06-05-2026,Hiring Manager
Toowoxx IT GmbH a,R2R Analyst,Germany,06-05-2026,Hiring Manager
Toowoxx IT GmbH b,Financial Analyst,Germany,06-05-2026,Hiring Manager
engineering people GmbH a,SAP Consultant Finance,Germany,06-05-2026,Hiring Manager
ULDE – Die Ulmer Datenbank-Experten a,Finance Operations Executive,Germany,06-05-2026,Hiring Manager
DREICAD GmbH a,Accounting Analyst,Germany,06-05-2026,Hiring Manager
DREICAD GmbH b,SAP Ariba Consultant,Germany,06-05-2026,Hiring Manager
uysal consulting GmbH a,Procurement Finance Analyst,Germany,06-05-2026,Hiring Manager
uysal consulting GmbH b,Compliance Analyst Finance,Germany,06-05-2026,Hiring Manager
