company_name,role,country,date,hr_name
cjt Systemsoftware AG a,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
IT-Choice Software GmbH a,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH b,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH d,Capacity Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH j,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH k,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH l,WFM Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH m,Capacity Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH n,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH o,Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH p,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH q,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH r,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH s,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH t,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH u,WFM Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH v,Capacity Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH w,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH x,Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH y,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH z,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aa,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ab,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ac,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ad,WFM Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ao,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ap,Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aq,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ar,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH as,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH at,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH au,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH av,WFM Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aw,Capacity Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ax,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ay,Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH az,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ba,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH bb,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH bc,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
DSC Software AG a,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
emmtrix Technologies GmbH a,WFM Analyst,Germany,06-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Capacity Planning Analyst,Germany,06-04-2026,Hiring Manager
MCC Software Engineering a,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH a,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH b,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
n-komm GmbH a,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
Pharmakon Software GmbH a,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
awesome information technology GmbH a,WFM Analyst,Germany,06-04-2026,Hiring Manager
DATEX Software GmbH a,Capacity Planning Analyst,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,Operations Analyst,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH a,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH b,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
BTS Technische Software GmbH a,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
adesso SE a,WFM Analyst,Germany,06-04-2026,Hiring Manager
adesso SE b,Capacity Planning Analyst,Germany,06-04-2026,Hiring Manager
Forterro Deutschland Abas GmbH a,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
KENBUN IT AG a,Operations Analyst,Germany,06-04-2026,Hiring Manager
Tooltec IT GmbH a,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
InterConnect GmbH & Co. KG a,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe a,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe b,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
Nesto Software GmbH a,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
PowMio GmbH a,WFM Analyst,Germany,06-04-2026,Hiring Manager
AUNOVIS GmbH a,Capacity Planning Analyst,Germany,06-04-2026,Hiring Manager
movisens GmbH a,Forecasting Analyst,Germany,06-04-2026,Hiring Manager
movisens GmbH b,Operations Analyst,Germany,06-04-2026,Hiring Manager
ACT Smartware GmbH a,Scheduling Analyst,Germany,06-04-2026,Hiring Manager
CAOS Computersoftware für Anwendungs-Orientierte Systeme GmbH a,Contact Center Analyst,Germany,06-04-2026,Hiring Manager
Retis GmbH & Co. KG a,Resource Planning Analyst,Germany,06-04-2026,Hiring Manager
NETSYNO Software GmbH a,Business Operations Analyst,Germany,06-04-2026,Hiring Manager
Internext GmbH Innovative IT-Lösungen a,Workforce Management Analyst,Germany,06-04-2026,Hiring Manager
