company_name,role,country,date,hr_name
ISD Software und Systeme GmbH a,Facility Manager,Germany,06-05-2026,Hiring Manager
immersight GmbH a,Facilities Management Executive,Germany,06-05-2026,Hiring Manager
Axians Infoma GmbH a,Workplace Operations Manager,Germany,06-05-2026,Hiring Manager
digital ZEIT GmbH a,Facility Operations Manager,Germany,06-05-2026,Hiring Manager
Gerling Consulting GmbH a,Maintenance Manager,Germany,06-05-2026,Hiring Manager
Lemonize GmbH a,EHS Manager,Germany,06-05-2026,Hiring Manager
Metricsiro - Das IT-Systemhaus in Ulm a,Property Manager,Germany,06-05-2026,Hiring Manager
Inworks GmbH a,Building Operations Manager,Germany,06-05-2026,Hiring Manager
Inworks GmbH b,Infrastructure Manager,Germany,06-05-2026,Hiring Manager
mercatis GmbH a,Facilities Coordinator,Germany,06-05-2026,Hiring Manager
global IT systems GmbH a,Soft Services Manager,Germany,06-05-2026,Hiring Manager
aurivus GmbH a,Hard Services Manager,Germany,06-05-2026,Hiring Manager
bll computersysteme GmbH & Co. KG Systemhaus Ulm a,Campus Operations Manager,Germany,06-05-2026,Hiring Manager
alphaQuest GmbH a,Vendor Management Executive,Germany,06-05-2026,Hiring Manager
Bortoli IT | Software | Services a,Facilities Supervisor,Germany,06-05-2026,Hiring Manager
IT sure GmbH a,Operations Manager Facilities,Germany,06-05-2026,Hiring Manager
IT sure GmbH b,Technical Services Manager,Germany,06-05-2026,Hiring Manager
ATR Software GmbH a,Facility Administrator,Germany,06-05-2026,Hiring Manager
ProntoWeb GmbH a,Workplace Services Manager,Germany,06-05-2026,Hiring Manager
BS software development GmbH & Co. KG a,Facilities Executive,Germany,06-05-2026,Hiring Manager
BS software development GmbH & Co. KG b,Facility Manager,Germany,06-05-2026,Hiring Manager
GPS Gesellschaft zur Prüfung von Software mbH a,Facilities Management Executive,Germany,06-05-2026,Hiring Manager
THiiiNK GmbH a,Workplace Operations Manager,Germany,06-05-2026,Hiring Manager
MacSystem GmbH a,Facility Operations Manager,Germany,06-05-2026,Hiring Manager
wescaleIT AG a,Maintenance Manager,Germany,06-05-2026,Hiring Manager
oput GmbH a,EHS Manager,Germany,06-05-2026,Hiring Manager
BITE GmbH a,Property Manager,Germany,06-05-2026,Hiring Manager
D9T GmbH a,Building Operations Manager,Germany,06-05-2026,Hiring Manager
preeco GmbH a,Infrastructure Manager,Germany,06-05-2026,Hiring Manager
Informaticon Deutschland GmbH a,Facilities Coordinator,Germany,06-05-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG a,Soft Services Manager,Germany,06-05-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG b,Hard Services Manager,Germany,06-05-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG c,Campus Operations Manager,Germany,06-05-2026,Hiring Manager
netvision Datentechnik GmbH u. Co. KG d,Vendor Management Executive,Germany,06-05-2026,Hiring Manager
Schwaben Systems GmbH a,Facilities Supervisor,Germany,06-05-2026,Hiring Manager
Schwaben Systems GmbH b,Operations Manager Facilities,Germany,06-05-2026,Hiring Manager
Palark GmbH a,Technical Services Manager,Germany,06-05-2026,Hiring Manager
ADLON Intelligent Solutions GmbH a,Facility Administrator,Germany,06-05-2026,Hiring Manager
ADLON Intelligent Solutions GmbH b,Workplace Services Manager,Germany,06-05-2026,Hiring Manager
Polygran GmbH a,Facilities Executive,Germany,06-05-2026,Hiring Manager
GSMB Agency GmbH a,Facility Manager,Germany,06-05-2026,Hiring Manager
IT Consulting Kühnl a,Facilities Management Executive,Germany,06-05-2026,Hiring Manager
Inway Systems GmbH a,Workplace Operations Manager,Germany,06-05-2026,Hiring Manager
Inway Systems GmbH b,Facility Operations Manager,Germany,06-05-2026,Hiring Manager
WP Nova GmbH a,Maintenance Manager,Germany,06-05-2026,Hiring Manager
