company_name,role,country,date,hr_name
Communardo GmbH - Büro Darmstadt a,Business Analyst,Germany,06-05-2026,Hiring Manager
teambits a,Functional Analyst,Germany,06-05-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Systems Analyst,Germany,06-05-2026,Hiring Manager
Future-App a,Requirements Analyst,Germany,06-05-2026,Hiring Manager
ISRA VISION GmbH a,IT Business Analyst,Germany,06-05-2026,Hiring Manager
Moltomedia GmbH a,Regulatory Reporting Analyst,Germany,06-05-2026,Hiring Manager
Site Point GmbH a,ETL Business Analyst,Germany,06-05-2026,Hiring Manager
Bonanza Software GmbH a,Product Analyst,Germany,06-05-2026,Hiring Manager
Basis Europe GmbH a,Business Analyst,Germany,06-05-2026,Hiring Manager
Basis Europe GmbH b,Technical Business Analyst,Germany,06-05-2026,Hiring Manager
Basis Europe GmbH c,Data Analyst (Business Focused),Germany,06-05-2026,Hiring Manager
Basis Europe GmbH d,Functional Analyst,Germany,06-05-2026,Hiring Manager
Scheer PAS Deutschland GmbH a,Systems Analyst,Germany,06-05-2026,Hiring Manager
dinext. AG a,Requirements Analyst,Germany,06-05-2026,Hiring Manager
optimIT GmbH a,IT Business Analyst,Germany,06-05-2026,Hiring Manager
optimIT GmbH b,Regulatory Reporting Analyst,Germany,06-05-2026,Hiring Manager
optimIT GmbH c,ETL Business Analyst,Germany,06-05-2026,Hiring Manager
RpDoc Solutions GmbH a,Product Analyst,Germany,06-05-2026,Hiring Manager
RealObjects GmbH a,Business Analyst,Germany,06-05-2026,Hiring Manager
poslogix GmbH - innovative Kassensysteme a,Technical Business Analyst,Germany,06-05-2026,Hiring Manager
adesso SE c,Data Analyst (Business Focused),Germany,06-05-2026,Hiring Manager
Wenobis IT GmbH a,Functional Analyst,Germany,06-05-2026,Hiring Manager
Talentmore AG a,Systems Analyst,Germany,06-05-2026,Hiring Manager
Talentmore AG b,Requirements Analyst,Germany,06-05-2026,Hiring Manager
Talentmore AG c,IT Business Analyst,Germany,06-05-2026,Hiring Manager
peloba GmbH a,Regulatory Reporting Analyst,Germany,06-05-2026,Hiring Manager
ma-x neue Medien & IT Services GmbH a,ETL Business Analyst,Germany,06-05-2026,Hiring Manager
web2perform UG (haftungsbeschränkt) a,Product Analyst,Germany,06-05-2026,Hiring Manager
PREVISIONZ GmbH a,Business Analyst,Germany,06-05-2026,Hiring Manager
Natif.ai a,Technical Business Analyst,Germany,06-05-2026,Hiring Manager
Gast Solutions a,Data Analyst (Business Focused),Germany,06-05-2026,Hiring Manager
softgarden e-recruiting GmbH a,Functional Analyst,Germany,06-05-2026,Hiring Manager
Algorithmic Solutions Software GmbH a,Systems Analyst,Germany,06-05-2026,Hiring Manager
ARCHIBUS Solution Centers Germany-Saarbrücken GmbH a,Requirements Analyst,Germany,06-05-2026,Hiring Manager
Max Planck Institute for Software Systems a,IT Business Analyst,Germany,06-05-2026,Hiring Manager
BSNSoft Solutions GmbH a,Regulatory Reporting Analyst,Germany,06-05-2026,Hiring Manager
IT Netzwerke Kreutzer & Tries GmbH a,ETL Business Analyst,Germany,06-05-2026,Hiring Manager
Facility Management Software GIS PROJECT a,Product Analyst,Germany,06-05-2026,Hiring Manager
