company_name,role,country,date,hr_name
cjt Systemsoftware AG a,Software Engineer Android,Germany,06-04-2026,Hiring Manager
IT-Choice Software GmbH a,Lead Android Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,Mobile Platform Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH c,Android Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH d,Mobile Software Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,Kotlin Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,Android Architect,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,Mobile Application Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,Software Engineer Android,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,Lead Android Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH j,Mobile Platform Engineer,Germany,06-04-2026,Hiring Manager
