company_name,role,country,date,hr_name
cjt Systemsoftware AG a,Senior QA Engineer,Germany,06-04-2026,Hiring Manager
IT-Choice Software GmbH a,Test Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,QA Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH c,Software Test Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH d,QA Automation Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,Automation Test Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,API Test Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,Senior Test Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,QA Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,Test Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH j,Quality Assurance Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH k,UAT Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH l,SIT Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH m,QA Consultant,Germany,06-04-2026,Hiring Manager
