company_name,role,country,date,hr_name
Vector Informatik GmbH ax,Learning Experience Designer,Germany,06-05-2026,Hiring Manager
Vector Informatik GmbH ay,Instructional Designer,Germany,06-05-2026,Hiring Manager
Vector Informatik GmbH az,Learning and Development Manager,Germany,06-05-2026,Hiring Manager
Vector Informatik GmbH ba,eLearning Specialist,Germany,06-05-2026,Hiring Manager
Vector Informatik GmbH bb,Training Manager,Germany,06-05-2026,Hiring Manager
Vector Informatik GmbH bc,Curriculum Designer,Germany,06-05-2026,Hiring Manager
DSC Software AG a,Learning Consultant,Germany,06-05-2026,Hiring Manager
emmtrix Technologies GmbH a,LMS Specialist,Germany,06-05-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Corporate Trainer,Germany,06-05-2026,Hiring Manager
MCC Software Engineering a,Talent Development Specialist,Germany,06-05-2026,Hiring Manager
Jamit Labs GmbH a,Learning Experience Designer,Germany,06-05-2026,Hiring Manager
CodeWrights GmbH a,Instructional Designer,Germany,06-05-2026,Hiring Manager
CodeWrights GmbH b,Learning and Development Manager,Germany,06-05-2026,Hiring Manager
n-komm GmbH a,eLearning Specialist,Germany,06-05-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Training Manager,Germany,06-05-2026,Hiring Manager
