company_name,role,country,date,hr_name
Innoface AG a,Piping Engineer,Germany,03-04-2026,Hiring Manager
Innoface AG b,Senior Piping Engineer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Piping Design Engineer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Mechanical Engineer Piping,Germany,03-04-2026,Hiring Manager
arconsis a,Process Piping Engineer,Germany,03-04-2026,Hiring Manager
arconsis b,EPC Engineer,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Plant Design Engineer,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Utility Piping Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Piping Layout Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Piping Stress Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Construction Engineer Piping,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Project Engineer Piping,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Pharmaceutical Piping Engineer,Germany,03-04-2026,Hiring Manager
