company_name,role,country,date,hr_name
THE NEW SCHOOL - Language School Berlin,EYFS Teacher,Germany,06-04-2026,Hiring Manager
International School Berlin,Early Years Practitioner,Germany,06-04-2026,Hiring Manager
International School Berlin - a,Teaching Assistant Early Years,Germany,06-04-2026,Hiring Manager
John F. Kennedy School - a,Early Childhood Educator,Germany,06-04-2026,Hiring Manager
John F. Kennedy School - b,Montessori Teacher,Germany,06-04-2026,Hiring Manager
Wangari Maathai International School,Kindergarten Teacher,Germany,06-04-2026,Hiring Manager
BBIS Berlin Brandenburg International School,Preschool Teacher,Germany,06-04-2026,Hiring Manager
Phorms Campus Berlin Mitte,Nursery Teacher,Germany,06-04-2026,Hiring Manager
Phorms Campus Berlin Mitte - a,Childcare Educator,Germany,06-04-2026,Hiring Manager
Phorms Campus Berlin Süd,EYFS Teacher,Germany,06-04-2026,Hiring Manager
Platanus school,Early Years Practitioner,Germany,06-04-2026,Hiring Manager
die deutSCHule,Teaching Assistant Early Years,Germany,06-04-2026,Hiring Manager
Rackow schools Germany gGmbH,Bilingual Preschool Teacher,Germany,06-04-2026,Hiring Manager
speakeasy Berlin - Language school,Early Childhood Educator,Germany,06-04-2026,Hiring Manager
speakeasy Berlin - Language school - a,Montessori Teacher,Germany,06-04-2026,Hiring Manager
Humboldt-Institut Berlin,Kindergarten Teacher,Germany,06-04-2026,Hiring Manager
Kapitel Zwei. Deutsch-Sprachschule Berlin GmbH,Preschool Teacher,Germany,06-04-2026,Hiring Manager
DAS Akademie,Nursery Teacher,Germany,06-04-2026,Hiring Manager
Internationale Lomonossow-Schule Tiergarten,Childcare Educator,Germany,06-04-2026,Hiring Manager
Internationale Lomonossow-Schule Tiergarten - a,EYFS Teacher,Germany,06-04-2026,Hiring Manager
Internationale Lomonossow-Schule Tiergarten - b,Early Years Practitioner,Germany,06-04-2026,Hiring Manager
Internationale Lomonossow-Schule Tiergarten - c,Teaching Assistant Early Years,Germany,06-04-2026,Hiring Manager
Sprachsalon Berlin,Bilingual Preschool Teacher,Germany,06-04-2026,Hiring Manager
ESMT Berlin,Early Childhood Educator,Germany,06-04-2026,Hiring Manager
Global German,Montessori Teacher,Germany,06-04-2026,Hiring Manager
Phorms Campus Munich,Montessori Teacher,Germany,06-04-2026,Hiring Manager
Phorms Campus Munich - a,Kindergarten Teacher,Germany,06-04-2026,Hiring Manager
Munich International School,Preschool Teacher,Germany,06-04-2026,Hiring Manager
International Bilingual School Munich,Nursery Teacher,Germany,06-04-2026,Hiring Manager
Bavarian International School - München,Childcare Educator,Germany,06-04-2026,Hiring Manager
Munich Goethe Institute Language School German Courses,EYFS Teacher,Germany,06-04-2026,Hiring Manager
Jules Verne Campus,Early Years Practitioner,Germany,06-04-2026,Hiring Manager
Modern School Hamburg,Teaching Assistant Early Years,Germany,06-04-2026,Hiring Manager
Phorms Campus Hamburg,Bilingual Preschool Teacher,Germany,06-04-2026,Hiring Manager
Phorms Campus Hamburg - a,Early Childhood Educator,Germany,06-04-2026,Hiring Manager
Lycée Français Antoine-de-Saint-Exupéry de Hambourg,Montessori Teacher,Germany,06-04-2026,Hiring Manager
WABE International School,Kindergarten Teacher,Germany,06-04-2026,Hiring Manager
MSH Medical School Hamburg – University of Applied Sciences and Medical University,Preschool Teacher,Germany,06-04-2026,Hiring Manager
German School Hamburg,Nursery Teacher,Germany,06-04-2026,Hiring Manager
German School Hamburg - a,Childcare Educator,Germany,06-04-2026,Hiring Manager
German School Hamburg - b,EYFS Teacher,Germany,06-04-2026,Hiring Manager
German School Hamburg - d,Teaching Assistant Early Years,Germany,06-04-2026,Hiring Manager
Strothoff International School,Bilingual Preschool Teacher,Germany,06-04-2026,Hiring Manager
Metropolitan School Frankfurt,Early Childhood Educator,Germany,06-04-2026,Hiring Manager
European School Frankfurt,Montessori Teacher,Germany,06-04-2026,Hiring Manager
Rackow schools Frankfurt GmbH,Kindergarten Teacher,Germany,06-04-2026,Hiring Manager
Main Schule,Preschool Teacher,Germany,06-04-2026,Hiring Manager
SpeakEASY Sprachschule GmbH,Nursery Teacher,Germany,06-04-2026,Hiring Manager
Lycée français Victor Hugo,Childcare Educator,Germany,06-04-2026,Hiring Manager
SIS Swiss International School Frankfurt,EYFS Teacher,Germany,06-04-2026,Hiring Manager
Carl Remigius Medical School Frankfurt am Main,Early Years Practitioner,Germany,06-04-2026,Hiring Manager
Engelbert-Humperdinck-Schule,Teaching Assistant Early Years,Germany,06-04-2026,Hiring Manager
german studios Frankfurt - German Language School,Bilingual Preschool Teacher,Germany,06-04-2026,Hiring Manager
Klingerschule,Early Childhood Educator,Germany,06-04-2026,Hiring Manager
Freiburg International Academy,Montessori Teacher,Germany,06-04-2026,Hiring Manager
Freiburg International Academy - a,Kindergarten Teacher,Germany,06-04-2026,Hiring Manager
