company_name,role,country,date,hr_name
cjt Systemsoftware AG a,Dashboard Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,Dashboard Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,Performance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH j,Operations Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH k,BI Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH t,BI Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH z,Dashboard Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ac,BI Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH af,Reporting Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH au,BI Analyst,Germany,06-04-2026,Hiring Manager
