company_name,role,country,date,hr_name
IT-Choice Software GmbH a,Recruitment Specialist,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,HR Administrator,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH b,Payroll Executive,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,HR Analyst (Junior),Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,People & Culture Associate,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,Talent Acquisition Coordinator,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,HR Compliance Executive,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH x,HR Shared Services Executive,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH y,HR Analyst (Junior),Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ac,Staffing Specialist,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ba,HR Generalist,Germany,06-04-2026,Hiring Manager
DSC Software AG a,HR Recruiter,Germany,06-04-2026,Hiring Manager
emmtrix Technologies GmbH a,People Operations Associate,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH b,Payroll Executive,Germany,06-04-2026,Hiring Manager
n-komm GmbH a,Employee Relations Executive,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH b,Onboarding Specialist,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,HR Generalist,Germany,06-04-2026,Hiring Manager
adesso SE b,HR Recruiter,Germany,06-04-2026,Hiring Manager
CAOS Computersoftware für Anwendungs-Orientierte Systeme GmbH a,Staffing Specialist,Germany,06-04-2026,Hiring Manager
Retis GmbH & Co. KG a,HR Business Partner (Junior),Germany,06-04-2026,Hiring Manager
