company_name,role,country,date,hr_name
Innoface AG a,Supply Chain Analyst,Germany,03-04-2026,Hiring Manager
Innoface AG b,Inventory Analyst,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Logistics Analyst,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Demand Planning Analyst,Germany,03-04-2026,Hiring Manager
arconsis a,Supply Chain Executive,Germany,03-04-2026,Hiring Manager
arconsis b,Inventory Controller,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Operations Analyst,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Procurement Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Supply Chain Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Business Analyst (Supply Chain),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Supply Chain Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Inventory Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Logistics Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Demand Planning Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Supply Chain Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Inventory Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Operations Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Procurement Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Supply Chain Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Business Analyst (Supply Chain),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Supply Chain Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Inventory Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,Logistics Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Demand Planning Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,Supply Chain Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Inventory Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Operations Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,Procurement Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Supply Chain Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,Business Analyst (Supply Chain),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Supply Chain Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Inventory Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,Logistics Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,Demand Planning Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Supply Chain Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Inventory Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,Operations Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,Procurement Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Supply Chain Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,Business Analyst (Supply Chain),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Supply Chain Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Inventory Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,Logistics Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,Demand Planning Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,Supply Chain Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,Inventory Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,Operations Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,Procurement Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,Supply Chain Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,Business Analyst (Supply Chain),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,Supply Chain Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,Inventory Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,Logistics Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH at,Demand Planning Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH au,Supply Chain Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH av,Inventory Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aw,Operations Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ax,Procurement Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ay,Supply Chain Coordinator,Germany,03-04-2026,Hiring Manager
