company_name,role,country,date,hr_name
cjt Systemsoftware AG a,Data Analytics Manager,Germany,06-04-2026,Hiring Manager
IT-Choice Software GmbH a,Data Steward,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH b,Data Governance Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH c,Data Quality Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH d,Data Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,Data Governance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,Risk & Compliance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,BI Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,Data Analytics Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,Data Steward,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH j,Data Quality Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH k,Data Governance Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH l,Data Quality Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH m,Data Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH n,Data Governance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH o,Risk & Compliance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH p,BI Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH q,Data Analytics Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH r,Data Steward,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH s,Data Quality Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH t,Data Governance Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ad,Data Quality Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ae,Data Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH af,Data Governance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ag,Risk & Compliance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ah,BI Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ai,Data Analytics Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aj,Data Steward,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ak,Data Quality Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH al,Data Governance Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH am,Data Quality Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH an,Data Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ao,Data Governance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ap,Risk & Compliance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aq,BI Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ar,Data Analytics Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH as,Data Steward,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH at,Data Quality Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH au,Data Governance Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH av,Data Quality Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aw,Data Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ax,Data Governance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ay,Risk & Compliance Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH az,BI Analyst,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ba,Data Analytics Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH bb,Data Steward,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH bc,Data Quality Lead,Germany,06-04-2026,Hiring Manager
DSC Software AG a,Data Governance Manager,Germany,06-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Data Quality Manager,Germany,06-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Data Analyst,Germany,06-04-2026,Hiring Manager
MCC Software Engineering a,Data Governance Analyst,Germany,06-04-2026,Hiring Manager
Jamit Labs GmbH a,Risk & Compliance Analyst,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH a,BI Analyst,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH b,Data Analytics Manager,Germany,06-04-2026,Hiring Manager
n-komm GmbH a,Data Steward,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Data Quality Lead,Germany,06-04-2026,Hiring Manager
Pharmakon Software GmbH a,Data Governance Manager,Germany,06-04-2026,Hiring Manager
awesome information technology GmbH a,Data Quality Manager,Germany,06-04-2026,Hiring Manager
DATEX Software GmbH a,Data Analyst,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,Data Governance Analyst,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,Risk & Compliance Analyst,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH a,BI Analyst,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH b,Data Analytics Manager,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,Data Steward,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Data Quality Lead,Germany,06-04-2026,Hiring Manager
BTS Technische Software GmbH a,Data Governance Manager,Germany,06-04-2026,Hiring Manager
adesso SE a,Data Quality Manager,Germany,06-04-2026,Hiring Manager
adesso SE b,Data Analyst,Germany,06-04-2026,Hiring Manager
Forterro Deutschland Abas GmbH a,Data Governance Analyst,Germany,06-04-2026,Hiring Manager
KENBUN IT AG a,Risk & Compliance Analyst,Germany,06-04-2026,Hiring Manager
Tooltec IT GmbH a,BI Analyst,Germany,06-04-2026,Hiring Manager
