company_name,role,country,date,hr_name
P3 group Wolfsburg a,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
VW-Kraftwerk a,Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
Autostadt a,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
IZB Auto Show a,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
Togg Europe GmbH a,Regulatory Affairs Engineer,Germany,06-04-2026,Hiring Manager
MAO Automotive GmbH & Co. KG a,Compliance Engineer Automotive,Germany,06-04-2026,Hiring Manager
FAP Automotive GmbH a,Type Approval Engineer,Germany,06-04-2026,Hiring Manager
YFORE Technology Germany GmbH a,Certification Engineer,Germany,06-04-2026,Hiring Manager
YFORE Technology Germany GmbH b,Automotive Regulatory Specialist,Germany,06-04-2026,Hiring Manager
YFORE Technology Germany GmbH c,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
Klara Seating GmbH ( Klara Seats) a,Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
Kienzle Automotive GmbH a,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
Kienzle Automotive GmbH b,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
AMK Automotive GmbH & Co. KG a,Regulatory Affairs Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH a,Homologation Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH b,Compliance Engineer Automotive,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH c,Type Approval Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH d,Certification Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH e,Automotive Regulatory Specialist,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH f,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
MOTORWORLD Region Stuttgart a,Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
MOTORWORLD Region Stuttgart b,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH a,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH b,Regulatory Affairs Engineer,Germany,06-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH c,Homologation Engineer,Germany,06-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH d,Compliance Engineer Automotive,Germany,06-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH e,Type Approval Engineer,Germany,06-04-2026,Hiring Manager
Cobra Advanced Composites Europe GmbH f,Certification Engineer,Germany,06-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH h,Automotive Regulatory Specialist,Germany,06-04-2026,Hiring Manager
Motherson Innovations Deutschland GmbH i,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
Munich Electrification a,Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
Schaeffler (former Vitesco Technologies) a,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
Dynamic Automotive Europe GmbH a,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
Chair of Automotive Technology a,Regulatory Affairs Engineer,Germany,06-04-2026,Hiring Manager
B.B.W. Automotive GmbH a,Homologation Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH b,Compliance Engineer Automotive,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH c,Type Approval Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH d,Certification Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH e,Automotive Regulatory Specialist,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH f,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH g,Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH h,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
IDEAL Automotive Ingolstadt GmbH a,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
GUMPERT AUTOMOBILE GmbH a,Regulatory Affairs Engineer,Germany,06-04-2026,Hiring Manager
Automotive Stefani GmbH & Co. KG a,Homologation Engineer,Germany,06-04-2026,Hiring Manager
PSW automotive engineering GmbH a,Compliance Engineer Automotive,Germany,06-04-2026,Hiring Manager
Race Car Manufaktur GmbH a,Type Approval Engineer,Germany,06-04-2026,Hiring Manager
Schabmüller Automotive GmbH a,Certification Engineer,Germany,06-04-2026,Hiring Manager
AUDI AG - GVZ Halle B a,Automotive Regulatory Specialist,Germany,06-04-2026,Hiring Manager
AUDI AG - GVZ Halle B b,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
ESAS automotive GmbH a,Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
ATS Industrial Automation GmbH & Co. KG a,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
MW GmbH a,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
ZD Automotive GmbH a,Regulatory Affairs Engineer,Germany,06-04-2026,Hiring Manager
ABC Automobil-Formteile GmbH a,Homologation Engineer,Germany,06-04-2026,Hiring Manager
MOSOLF Automotive Releasing Solutions GmbH (MARS GmbH) a,Compliance Engineer Automotive,Germany,06-04-2026,Hiring Manager
Ronsdorfer straße 145 a,Type Approval Engineer,Germany,06-04-2026,Hiring Manager
Ronsdorfer straße 145 b,Certification Engineer,Germany,06-04-2026,Hiring Manager
Ronsdorfer straße 145 c,Automotive Regulatory Specialist,Germany,06-04-2026,Hiring Manager
Ronsdorfer straße 145 d,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
Ronsdorfer straße 145 e,Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
Ronsdorfer straße 145 f,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
Ronsdorfer straße 145 g,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
Ronsdorfer straße 145 h,Regulatory Affairs Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH i,Homologation Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH j,Compliance Engineer Automotive,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH k,Type Approval Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH l,Certification Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH m,Automotive Regulatory Specialist,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH n,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU Automotive GmbH o,Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
AUMA Riester GmbH & Co. KG a,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
Automotive COLOGNE a,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
ThyssenKrupp Automotive Systems GmbH a,Regulatory Affairs Engineer,Germany,06-04-2026,Hiring Manager
BMW Group Werk Leipzig a,Homologation Engineer,Germany,06-04-2026,Hiring Manager
BMW Group Werk Leipzig b,Compliance Engineer Automotive,Germany,06-04-2026,Hiring Manager
BMW Group Werk Leipzig c,Type Approval Engineer,Germany,06-04-2026,Hiring Manager
Eurotech Automotive GmbH & Co. KG a,Certification Engineer,Germany,06-04-2026,Hiring Manager
IOT – Innovative Oberflächentechnologien GmbH a,Automotive Regulatory Specialist,Germany,06-04-2026,Hiring Manager
Aircraft Philipp a,EV Compliance Engineer,Germany,06-04-2026,Hiring Manager
"COMPAUTO, Komponenten für Automation GmbH a",Product Compliance Engineer,Germany,06-04-2026,Hiring Manager
MB Automotive - Karlsruhe a,Technical Regulations Engineer,Germany,06-04-2026,Hiring Manager
Technology Factory Karlsruhe GmbH a,Approval & Certification Engineer,Germany,06-04-2026,Hiring Manager
