company_name,role,country,date,hr_name
Innoface AG a,Scrum Master,Germany,03-04-2026,Hiring Manager
Innoface AG b,Senior Scrum Master,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,SAFe Scrum Master,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Agile Delivery Manager,Germany,03-04-2026,Hiring Manager
arconsis a,Agile Coach,Germany,03-04-2026,Hiring Manager
arconsis b,Project Manager (Agile),Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Delivery Manager,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Iteration Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Agile Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Scrum Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Senior Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,SAFe Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Agile Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Agile Coach,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Project Manager (Agile),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Iteration Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Agile Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Scrum Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Senior Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,SAFe Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Agile Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,Agile Coach,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Project Manager (Agile),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,Iteration Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Agile Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,Scrum Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Senior Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,SAFe Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,Agile Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Agile Coach,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Project Manager (Agile),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,Iteration Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Agile Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,Scrum Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Senior Scrum Master,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,SAFe Scrum Master,Germany,03-04-2026,Hiring Manager
