company_name,role,country,date,hr_name
cjt Systemsoftware AG a,Sales Manager Rail,Germany,06-04-2026,Hiring Manager
IT-Choice Software GmbH a,Program Manager Rail Commercial,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,Commercial Manager Rail,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH f,Tendering Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH g,Bid Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,Key Account Manager Rail,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH k,Strategic Partnerships Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH l,Business Development Lead,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH m,Business Development Manager,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH n,Senior Business Development Manager,Germany,06-04-2026,Hiring Manager
