company_name,role,country,date,hr_name
CCI GmbH a,Project Coordinator Construction,Germany,06-04-2026,Hiring Manager
Elemente Spezialbau 1A GmbH a,QA/QC Engineer Civil,Germany,06-04-2026,Hiring Manager
Helios Construction a,MEP Coordinator,Germany,06-04-2026,Hiring Manager
Helios Construction b,Estimation Engineer,Germany,06-04-2026,Hiring Manager
Helios Construction c,Project Engineer Civil,Germany,06-04-2026,Hiring Manager
Royal-Construct GmbH b,Construction Engineer,Germany,06-04-2026,Hiring Manager
Royal-Construct GmbH d,Civil Engineer,Germany,06-04-2026,Hiring Manager
Royal-Construct GmbH e,Project Coordinator Construction,Germany,06-04-2026,Hiring Manager
renovira. a,QA/QC Engineer Civil,Germany,06-04-2026,Hiring Manager
DGC Construct a,MEP Coordinator,Germany,06-04-2026,Hiring Manager
DGC Construct b,Estimation Engineer,Germany,06-04-2026,Hiring Manager
Muffenrohr Tiefbauhandel GmbH a,Project Engineer Civil,Germany,06-04-2026,Hiring Manager
NEUWEST Bauunternehmen - Baufirma für Sanierung Berlin a,Planning Engineer,Germany,06-04-2026,Hiring Manager
Maftei a,Site Engineer,Germany,06-04-2026,Hiring Manager
K-Bau Engineering UG a,Construction Engineer,Germany,06-04-2026,Hiring Manager
STAVE GmbH a,Project Planning Engineer,Germany,06-04-2026,Hiring Manager
BTB Bauausführung & Immobilien GmbH a,Civil Engineer,Germany,06-04-2026,Hiring Manager
Apex Construction GmbH a,Project Coordinator Construction,Germany,06-04-2026,Hiring Manager
Quick City a,QA/QC Engineer Civil,Germany,06-04-2026,Hiring Manager
DeVi Bau GmbH a,MEP Coordinator,Germany,06-04-2026,Hiring Manager
AGH AUSBAU GmbH a,Estimation Engineer,Germany,06-04-2026,Hiring Manager
RS Infratec GmbH a,Project Engineer Civil,Germany,06-04-2026,Hiring Manager
ROCKiT Bau a,Planning Engineer,Germany,06-04-2026,Hiring Manager
Beton & Rohrbau 2.0 GmbH a,Site Engineer,Germany,06-04-2026,Hiring Manager
Strooy Hochbau GmbH a,Construction Engineer,Germany,06-04-2026,Hiring Manager
Green Constructions Berlin GmbH a,Project Planning Engineer,Germany,06-04-2026,Hiring Manager
Green Constructions Berlin GmbH b,Civil Engineer,Germany,06-04-2026,Hiring Manager
Berliner Bau Strateg GmbH a,Project Coordinator Construction,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg a,QA/QC Engineer Civil,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg b,MEP Coordinator,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg c,Estimation Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg d,Project Engineer Civil,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg e,Planning Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg f,Site Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg g,Construction Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg h,Project Planning Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg i,Civil Engineer,Germany,06-04-2026,Hiring Manager
LEC Construction International GmbH a,Project Coordinator Construction,Germany,06-04-2026,Hiring Manager
Komplett Sanierung 24 GmbH a,QA/QC Engineer Civil,Germany,06-04-2026,Hiring Manager
Hans-Peter Schmidt Tiefbau GmbH a,MEP Coordinator,Germany,06-04-2026,Hiring Manager
Mati Ingenieur a,Estimation Engineer,Germany,06-04-2026,Hiring Manager
Zenit Projektmanagement a,Project Engineer Civil,Germany,06-04-2026,Hiring Manager
R.U.N.D. Ingenieurbau GmbH a,Planning Engineer,Germany,06-04-2026,Hiring Manager
Impala a,Site Engineer,Germany,06-04-2026,Hiring Manager
Trinova GmbH a,Construction Engineer,Germany,06-04-2026,Hiring Manager
HOBAG Hochbau AG a,Project Planning Engineer,Germany,06-04-2026,Hiring Manager
SBG Sadriu Bau Gesellschaft mbH - Gerüstbau und verleih a,QA/QC Engineer Civil,Germany,06-04-2026,Hiring Manager
CARLISLE Construction Materials GmbH - WERK HH a,MEP Coordinator,Germany,06-04-2026,Hiring Manager
Gruppenwerk Bauunternehmen Gruppenwerk BSI Bausanierung und Instandhaltung GmbH a,Estimation Engineer,Germany,06-04-2026,Hiring Manager
HC Hagemann GmbH & Co. KG a,Project Engineer Civil,Germany,06-04-2026,Hiring Manager
CARLISLE Construction Materials GmbH a,Planning Engineer,Germany,06-04-2026,Hiring Manager
Allbauer GmbH a,Site Engineer,Germany,06-04-2026,Hiring Manager
ARIFI Construction GmbH a,Construction Engineer,Germany,06-04-2026,Hiring Manager
HB Hansa Baugesellschaft mbH / Rohbau & Flachdach/ Bauunternehmen Hamburg und Umgebung a,Project Planning Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG a,Civil Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG b,Project Coordinator Construction,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG c,QA/QC Engineer Civil,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG d,MEP Coordinator,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG e,Estimation Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG f,Project Engineer Civil,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG g,Planning Engineer,Germany,06-04-2026,Hiring Manager
